Trial,Group Acc
acceleration:speed::enthusiastic:lazy,1.0
acceleration:speed::inflation:price,0.4375
accept:reject::chair:sofa,1.0
accept:reject::lower:volume,0.9375
accident:damage::germs:sickness,0.875
accident:damage::make:manufacture,0.6875
advertise:promote::paper:parchment,0.3125
advertise:promote::wash:clean,0.9375
ahead:behind::bath:cleanliness,0.875
ahead:behind::breathe:live,0.8125
anger:yell::interior:exterior,1.0
anger:yell::smiling:sad,1.0
bath:cleanliness::ahead:behind,1.0
bath:cleanliness::pencil:pen,0.9375
bathe:clean::run:sprint,0.4375
bathe:clean::work:earn,1.0
below:above::dirtiness:bathe,0.9375
below:above::raise:salary,0.9375
big:large::low:up,0.875
big:large::option:choice,0.8125
big:small::difficult:easy,0.8125
big:small::dirty:clean,0.75
black:white::pretty:ugly,1.0
black:white::terror:fear,0.9375
boat:ship::big:large,1.0
boat:ship::pants:trousers,0.9375
book:magazine::exercise:healthy,0.8125
book:magazine::ladder:stairs,0.9375
breathe:live::forward:backward,1.0
breathe:live::good:bad,1.0
bright:dark::cute:adorable,0.875
bright:dark::fat:thin,0.8125
bright:dull::day:evening,0.625
bright:dull::ladder:stairs,1.0
burnish:shine::drink:hydrate,0.75
burnish:shine::trim:shorten,0.8125
car:auto::rise:sink,1.0
car:auto::top:bottom,0.9375
careful:cautious::explosion:damage,0.8125
careful:cautious::heater:warmth,0.5625
chair:sofa::east:west,0.9375
chair:sofa::pencil:pen,0.8125
climb:descend::pretty:beautiful,0.9375
climb:descend::work:earn,0.9375
coldness:shiver::couch:sofa,0.875
coldness:shiver::sword:knife,0.9375
cook:eat::day:evening,0.9375
cook:eat::exercise:healthy,0.75
couch:sofa::exercise:fitness,0.4375
couch:sofa::kid:child,0.9375
cute:adorable::burnish:shine,0.5625
cute:adorable::raise:elevate,0.875
danger:flee::force:pressure,0.625
danger:flee::in:out,0.9375
dark:light::big:small,1.0
dark:light::hill:mountain,1.0
darken:color::soften:voice,0.75
darken:color::terror:fear,0.125
day:evening::happiness:smile,0.875
day:evening::speak:express,0.9375
death:population::flood:water,0.375
death:population::start:finish,0.875
difficult:easy::inflation:price,0.9375
difficult:easy::warm:cool,1.0
dim:light::coldness:shiver,0.6875
dim:light::joke:laughter,0.9375
dirtiness:bathe::front:back,0.9375
dirtiness:bathe::hunger:eat,1.0
dirty:bathe::thirst:drink,0.75
dirty:bathe::thirsty:drink,0.875
dirty:clean::darken:color,0.75
dirty:clean::thirsty:drink,0.625
discount:price::cook:eat,0.75
discount:price::heat:temperature,0.5
disease:sickness::flood:water,0.3125
disease:sickness::injury:pain,0.8125
drink:hydrate::bathe:clean,0.9375
drink:hydrate::house:home,0.6875
east:west::car:auto,0.875
east:west::front:back,0.9375
enthusiastic:lazy::bright:dull,0.8125
enthusiastic:lazy::witty:dumb,0.8125
exercise:fitness::pillow:cushion,0.625
exercise:fitness::repetition:boredom,0.875
exercise:healthy::breathe:live,1.0
exercise:healthy::burnish:shine,0.3125
explosion:damage::book:magazine,1.0
explosion:damage::fun:boring,1.0
fast:slow::bright:dark,0.875
fast:slow::heat:sweat,0.8125
fat:thin::dirty:bathe,0.75
fat:thin::kid:child,1.0
fence:hedge::hill:mountain,0.6875
fence:hedge::paper:parchment,0.75
fire:burns::dim:light,0.8125
fire:burns::heater:warmth,0.8125
flee:escape::read:learn,0.6875
flee:escape::soften:voice,0.875
flood:water::death:population,0.5
flood:water::sadness:cry,0.6875
force:pressure::acceleration:speed,0.75
force:pressure::speed:movement,0.6875
forward:backward::climb:descend,0.875
forward:backward::north:south,0.9375
fright:scream::heat:sweat,1.0
fright:scream::loneliness:socialize,0.375
front:back::interior:exterior,0.875
front:back::wagon:trailer,0.875
fun:boring::powerful:meek,1.0
fun:boring::smiling:sad,0.75
funny:serious::fright:scream,0.8125
funny:serious::wash:clean,0.9375
germs:sickness::acceleration:speed,0.1875
germs:sickness::illness:discomfort,1.0
good:bad::shorten:distance,0.875
good:bad::tall:short,0.875
good:wrong::loud:discreet,0.625
good:wrong::nervousness:sweat,0.9375
happiness:smile::accept:reject,0.875
happiness:smile::sadness:cry,1.0
heat:sweat::boat:ship,1.0
heat:sweat::sickness:medicate,0.6875
heat:temperature::ignite:burn,0.625
heat:temperature::loud:discreet,0.875
heater:warmth::bath:cleanliness,0.8125
heater:warmth::climb:descend,0.9375
high:down::discount:price,0.875
high:down::option:choice,0.9375
high:low::rise:sink,1.0
high:low::up:down,0.9375
hill:mountain::anger:yell,0.75
hill:mountain::danger:flee,0.8125
hot:cold::accept:reject,0.9375
hot:cold::old:young,1.0
house:home::boat:ship,0.8125
house:home::run:sprint,0.875
house:tent::book:magazine,0.875
house:tent::tall:short,0.8125
hunger:eat::dirtiness:bathe,0.875
hunger:eat::tiredness:rest,0.9375
ignite:burn::majority:small,1.0
ignite:burn::speed:movement,0.4375
illness:discomfort::explosion:damage,0.875
illness:discomfort::stimulus:response,0.875
in:out::left:right,0.875
in:out::loneliness:socialize,0.5
inflation:price::hunger:eat,0.5625
inflation:price::witty:dumb,0.9375
injury:pain::death:population,0.875
injury:pain::loss:grief,0.875
interior:exterior::below:above,0.8125
interior:exterior::start:finish,0.9375
joke:laughter::right:bad,0.875
joke:laughter::rise:tide,0.875
just:unfair::heat:temperature,1.0
just:unfair::injury:pain,0.875
kid:child::couch:sofa,0.9375
kid:child::make:manufacture,0.875
ladder:stairs::bathe:clean,0.4375
ladder:stairs::table:desk,0.8125
left:right::in:out,0.875
left:right::tragedy:tears,0.875
loneliness:socialize::fright:scream,0.5625
loneliness:socialize::nervousness:sweat,0.5625
loss:grief::accident:damage,0.875
loss:grief::fire:burns,0.75
loud:discreet::majority:small,0.625
loud:discreet::picture:drawing,1.0
low:up::funny:serious,0.625
low:up::good:wrong,0.875
lower:volume::discount:price,0.9375
lower:volume::flee:escape,0.875
majority:small::house:tent,0.8125
majority:small::just:unfair,0.5
make:manufacture::difficult:easy,1.0
make:manufacture::obey:protest,1.0
nervousness:sweat::coldness:shiver,0.9375
nervousness:sweat::dirty:bathe,0.6875
north:south::ahead:behind,0.9375
north:south::east:west,1.0
obey:protest::enthusiastic:lazy,0.875
obey:protest::right:bad,0.5625
old:young::dark:light,0.875
old:young::rich:poor,1.0
option:choice::careful:cautious,0.8125
option:choice::high:down,1.0
pants:trousers::disease:sickness,0.1875
pants:trousers::spin:twirl,0.8125
paper:parchment::chair:sofa,0.5625
paper:parchment::shovel:spoon,0.8125
pencil:pen::fence:hedge,0.625
pencil:pen::north:south,1.0
picture:drawing::pillow:cushion,0.9375
picture:drawing::sword:knife,0.8125
pillow:cushion::pretty:ugly,1.0
pillow:cushion::rake:fork,0.75
powerful:meek::fun:boring,0.9375
powerful:meek::rake:fork,1.0
pretty:beautiful::car:auto,1.0
pretty:beautiful::teach:instruct,0.9375
pretty:ugly::good:bad,0.6875
pretty:ugly::spin:twirl,0.9375
raise:elevate::cute:adorable,0.9375
raise:elevate::pretty:beautiful,0.75
raise:salary::lower:volume,0.875
raise:salary::shorten:distance,0.4375
rake:fork::house:tent,0.9375
rake:fork::trim:shorten,0.5
