,3a,3f,3h,4b,4d,4g,8a,8b,8c
,SIMILAR,SIMILAR,SIMILAR,CONTRAST,CONTRAST,CONTRAST,CAUSE-PURPOSE,CAUSE-PURPOSE,CAUSE-PURPOSE
wordpair,Synonymity,AttributeSimilarity,Change,Contrary,Directional,Pseudoantonym,Cause:Effect,Cause:CompensatoryAction,Action/Activity:Goal
house:home,0.088388215,0.001102992,0.001102992,0,0,0,0,0,0
kid:child,0.088140629,0.001102992,0.001102992,0,0,0,0,0,0
raise:elevate,0.087645457,0.001102992,0.001102992,0,0,0,0,0,0
teach:instruct,0.07997029,0.001102992,0.001102992,0,0,0,0,0,0
big:large,0.077989601,0.001102992,0.001102992,0,0,0,0,0,0
spin:twirl,0.062886853,0.001102992,0.001102992,0,0,0,0,0,0
careful:cautious,0.059668235,0.001102992,0.001102992,0,0,0,0,0,0
couch:sofa,0.055459272,0.001102992,0.001102992,0,0,0,0,0,0
cute:adorable,0.055459272,0.001102992,0.001102992,0,0,0,0,0,0
make:manufacture,0.049517207,0.001102992,0.001102992,0,0,0,0,0,0
pants:trousers,0.047784105,0.001102992,0.001102992,0,0,0,0,0,0
pretty:beautiful,0.043327556,0.001102992,0.001102992,0,0,0,0,0,0
option:choice,0.042584798,0.001102992,0.001102992,0,0,0,0,0,0
run:sprint,0.039118594,0.001102992,0.001102992,0,0,0,0,0,0
boat:ship,0.033671701,0.001102992,0.001102992,0,0,0,0,0,0
car:auto,0.088388215,0.001102992,0.001102992,0,0,0,0,0,0
picture:drawing,0.001102992,0.123472505,0.001102992,0,0,0,0,0,0
sword:knife,0.001102992,0.115325866,0.001102992,0,0,0,0,0,0
ladder:stairs,0.001102992,0.109215886,0.001102992,0,0,0,0,0,0
shovel:spoon,0.001102992,0.084775967,0.001102992,0,0,0,0,0,0
stairs:ladder,0.001102992,0.073828921,0.001102992,0,0,0,0,0,0
hill:mountain,0.001102992,0.065682281,0.001102992,0,0,0,0,0,0
