ABTag,typicality,numchar,MainCond,SubCond
big:large,31.5,9,1,1
boat:ship,13.6,9,1,1
car:auto,35.7,8,1,1
careful:cautious,24.1,16,1,1
couch:sofa,22.4,10,1,1
cute:adorable,22.4,13,1,1
house:home,35.7,10,1,1
kid:child,35.6,9,1,1
make:manufacture,20,16,1,1
option:choice,17.2,13,1,1
pants:trousers,19.3,14,1,1
pretty:beautiful,17.5,16,1,1
raise:elevate,35.4,13,1,1
run:sprint,15.8,10,1,1
spin:twirl,25.4,10,1,1
teach:instruct,32.3,14,1,1
book:magazine,25.4,13,1,2
chair:sofa,3.1,10,1,2
fence:hedge,3.4,11,1,2
hill:mountain,25.8,13,1,2
house:tent,1.6,10,1,2
ladder:stairs,42.9,13,1,2
paper:parchment,15.2,15,1,2
pencil:pen,22.7,10,1,2
picture:drawing,48.5,15,1,2
pillow:cushion,13.8,14,1,2
rake:fork,48.5,9,1,2
shovel:spoon,33.3,12,1,2
stairs:ladder,29,13,1,2
sword:knife,45.3,11,1,2
table:desk,13.1,10,1,2
wagon:trailer,21.2,13,1,2
acceleration:speed,68,18,1,3
darken:color,44,12,1,3
death:population,8,16,1,3
dim:light,48,9,1,3
discount:price,68,14,1,3
flood:water,26,11,1,3
force:pressure,9.8,14,1,3
heat:temperature,14,16,1,3
inflation:price,26,15,1,3
lower:volume,45.1,12,1,3
raise:salary,30,12,1,3
rise:tide,6,9,1,3
shorten:distance,18,16,1,3
soften:voice,14,12,1,3
speed:movement,18,14,1,3
terror:fear,18,11,1,3
accept:reject,33.3,13,2,4
big:small,44.8,9,2,4
black:white,32.8,11,2,4
bright:dark,0,11,2,4
dark:light,37.5,10,2,4
difficult:easy,25,14,2,4
dirty:clean,10.9,11,2,4
fast:slow,29.3,9,2,4
fat:thin,16.9,8,2,4
good:bad,25.4,8,2,4
hot:cold,54.5,8,2,4
old:young,54.5,9,2,4
pretty:ugly,13.3,11,2,4
rich:poor,21.4,9,2,4
tall:short,26.7,10,2,4
warm:cool,-5.7,9,2,4
ahead:behind,20.3,12,2,5
below:above,27.3,11,2,5
climb:descend,-6.8,13,2,5
east:west,62.1,9,2,5
forward:backward,62.1,16,2,5
front:back,62.1,10,2,5
high:low,28.3,8,2,5
in:out,37.9,6,2,5
interior:exterior,5.3,17,2,5
left:right,62.1,10,2,5
north:south,56.4,11,2,5
rise:sink,7.1,9,2,5
start:finish,37.9,12,2,5
top:bottom,57.9,10,2,5
under:over,17.5,10,2,5
up:down,53.4,7,2,5
bright:dull,8,11,2,6
day:evening,34,11,2,6
enthusiastic:lazy,26,17,2,6
fun:boring,10,10,2,6
funny:serious,10,13,2,6
good:wrong,32,10,2,6
high:down,20,9,2,6
just:unfair,17.6,11,2,6
loud:discreet,6,13,2,6
low:up,30,6,2,6
majority:small,26,14,2,6
obey:protest,5.9,12,2,6
powerful:meek,16,13,2,6
right:bad,34,9,2,6
smiling:sad,18,11,2,6
witty:dumb,18,10,2,6
accident:damage,41.2,15,3,7
bath:cleanliness,30,16,3,7
disease:sickness,44,16,3,7
exercise:fitness,26,16,3,7
explosion:damage,42,16,3,7
fire:burns,20,10,3,7
germs:sickness,34.5,14,3,7
heater:warmth,12,13,3,7
illness:discomfort,12,18,3,7
injury:pain,48,11,3,7
joke:laughter,56,13,3,7
loss:grief,56,10,3,7
repetition:boredom,18,18,3,7
stimulus:response,16,17,3,7
tragedy:tears,22,13,3,7
workout:sweat,14,13,3,7
anger:yell,26,10,3,8
coldness:shiver,38,15,3,8
danger:flee,38,11,3,8
dirtiness:bathe,28,15,3,8
dirty:bathe,5.9,11,3,8
fright:scream,31.4,13,3,8
happiness:smile,56,15,3,8
heat:sweat,38,10,3,8
hunger:eat,90,10,3,8
loneliness:socialize,19.2,20,3,8
nervousness:sweat,12,17,3,8
sadness:cry,49,11,3,8
sickness:medicate,24,17,3,8
thirst:drink,90,12,3,8
thirsty:drink,54,13,3,8
tiredness:rest,60,14,3,8
advertise:promote,15.7,17,3,9
bathe:clean,26,11,3,9
breathe:live,58,12,3,9
burnish:shine,14,13,3,9
cook:eat,18,8,3,9
drink:hydrate,44,13,3,9
exercise:healthy,25.5,16,3,9
flee:escape,58,11,3,9
ignite:burn,20,11,3,9
read:learn,20,10,3,9
sleep:rest,26,10,3,9
speak:express,12.7,13,3,9
study:learn,50,11,3,9
trim:shorten,22,12,3,9
wash:clean,33.3,10,3,9
work:earn,28,9,3,9
