humanratings,mainrel,rstpostprob79,rstpostprob9,subrel,wordpair
"[0.00110299 0.00110299 0.14753743 0.         0.         0.
 0.         0.         0.        ]",1,"[0.03870871 0.15297225 0.15463563 0.12783613 0.0682275  0.06760806
 0.00711646 0.07368334 0.00347472 0.03703362 0.07040098 0.05319426
 0.01654796 0.06302942 0.01142762 0.56624999 0.59439987 0.32357619
 0.3052051  0.62223909 0.30269192 0.22281113 0.85618125 0.05007462
 0.09294887 0.08975466 0.13645405 0.06033347 0.06472656 0.09296915
 0.07208821 0.01532975 0.10526891 0.09624554 0.01813393 0.03416076
 0.11287091 0.13332351 0.03753342 0.03551886 0.07735369 0.06518686
 0.08399415 0.07873514 0.02925557 0.03542129 0.05742616 0.04184722
 0.05704178 0.06932635 0.06747811 0.06267153 0.0032119  0.06387299
 0.0274441  0.00439499 0.14835804 0.06460668 0.07161235 0.08881228
 0.00872428 0.09394423 0.00948661 0.03109622 0.03460424 0.04690085
 0.00643122 0.00835836 0.06293927 0.0714114  0.01448673 0.14482057
 0.08329115 0.1087511  0.08425516 0.1499724  0.04091657 0.01682183
 0.09720615]","[0.56624999 0.30269192 0.85618125 0.09294887 0.13645405 0.09296915
 0.14835804 0.06460668 0.08881228]",3,acceleration:speed
"[0.         0.         0.         0.07554894 0.00110299 0.00110299
 0.         0.         0.        ]",2,"[0.27473204 0.12312675 0.26437153 0.32466485 0.32502891 0.57892787
 0.2428008  0.36655467 0.15643179 0.05316199 0.409086   0.44707474
 0.23767011 0.16833821 0.03310111 0.6358134  0.65827733 0.54927093
 0.50251773 0.67322007 0.62244932 0.52239536 0.04941666 0.61220517
 0.81471654 0.39536714 0.55133507 0.41272406 0.36832663 0.70726033
 0.03750458 0.55171781 0.45729129 0.38345273 0.17725118 0.28538672
 0.39414667 0.29588534 0.50826917 0.18067338 0.03665438 0.33822762
 0.02656051 0.45899698 0.01981119 0.0150746  0.14919999 0.34477362
 0.11619484 0.07710255 0.17324718 0.08067679 0.18231024 0.20379471
 0.39702973 0.08463265 0.12859795 0.00623606 0.08248754 0.50682063
 0.17164175 0.42752735 0.54019015 0.05568639 0.16718078 0.1143787
 0.15298704 0.17747214 0.01059332 0.10959949 0.036559   0.13510034
 0.14437665 0.57264008 0.14178754 0.55256931 0.02202696 0.09943352
 0.24645261]","[0.6358134  0.62244932 0.04941666 0.81471654 0.55133507 0.70726033
 0.12859795 0.00623606 0.50682063]",4,accept:reject
"[0.         0.         0.         0.         0.         0.
 0.08379093 0.00110299 0.00110299]",3,"[0.31156526 0.00754074 0.27767876 0.14755867 0.51706617 0.18344824
 0.16949661 0.19825404 0.48475626 0.10005656 0.50235806 0.42226066
 0.56641836 0.28146399 0.56341238 0.49489022 0.18931277 0.29386544
 0.10734851 0.50129156 0.22431337 0.49012762 0.46455193 0.11225656
 0.61414919 0.5332477  0.39101288 0.49705265 0.5622591  0.66606796
 0.46997656 0.78803818 0.66430109 0.48973998 0.50886679 0.71848575
 0.74163176 0.01146095 0.09832414 0.54168305 0.16341682 0.26916511
 0.33344508 0.47460121 0.60121072 0.38412652 0.13084057 0.0782752
 0.12897993 0.25243149 0.3079554  0.08264911 0.10133871 0.0436986
 0.03643715 0.22084169 0.87161625 0.18824342 0.31084562 0.29804569
 0.27318755 0.22390839 0.32289691 0.06572747 0.2134723  0.19216718
 0.03241464 0.0751493  0.50492755 0.45442291 0.48864647 0.51866067
 0.24055109 0.22216745 0.04020428 0.36891806 0.24007325 0.30003768
 0.65177606]","[0.49489022 0.22431337 0.46455193 0.61414919 0.39101288 0.66606796
 0.87161625 0.18824342 0.29804569]",7,accident:damage
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.00110299 0.03331919]",3,"[0.23055154 0.08450941 0.40225117 0.10261225 0.17951125 0.10266708
 0.20247287 0.12695932 0.43202396 0.39766563 0.44776686 0.20159339
 0.00929931 0.08742012 0.31098281 0.40778456 0.12824188 0.1655641
 0.57018199 0.56472811 0.44502217 0.16903092 0.16705539 0.183159
 0.70647944 0.65943495 0.60279162 0.20134355 0.41431343 0.57527133
 0.26059356 0.26244518 0.39256678 0.51356986 0.35354223 0.17115527
 0.18218164 0.65690388 0.15645069 0.52679386 0.56707375 0.52956519
 0.40264006 0.4845373  0.08558069 0.04503691 0.55810121 0.49660237
 0.35367382 0.25861812 0.33051352 0.58468255 0.24310401 0.37053998
 0.53494633 0.04559564 0.1746477  0.03671269 0.06490911 0.85043308
 0.0733795  0.51643499 0.02259608 0.36254024 0.03378891 0.13869313
 0.25070269 0.1175565  0.06136871 0.23787901 0.08102995 0.25901933
 0.02721013 0.27113349 0.61255405 0.13050863 0.47345948 0.0152486
 0.44211475]","[0.40778456 0.44502217 0.16705539 0.70647944 0.60279162 0.57527133
 0.1746477  0.03671269 0.85043308]",9,advertise:promote
"[0.         0.         0.         0.00110299 0.03956983 0.00110299
 0.         0.         0.        ]",2,"[0.01617499 0.29945401 0.43482573 0.32663294 0.31705965 0.29765009
 0.61689275 0.61573356 0.37034675 0.01386051 0.55742109 0.24995121
 0.31568351 0.0922453  0.20952155 0.72799546 0.70026958 0.35407829
 0.48726776 0.38121054 0.64334729 0.72495823 0.68375053 0.72973957
 0.76789595 0.69342859 0.87067008 0.64512719 0.30291829 0.71550677
 0.07286142 0.36616418 0.25502486 0.0108975  0.01192919 0.33460144
 0.27112131 0.10518052 0.61375543 0.76866441 0.18352416 0.38988802
 0.05340888 0.56575042 0.04418947 0.125991   0.11049558 0.6927395
 0.05576292 0.602666   0.01627344 0.56674701 0.17767172 0.14448047
 0.37538881 0.05040129 0.06342501 0.13452652 0.31929413 0.16118327
 0.04918222 0.14867126 0.07928954 0.11598806 0.12298901 0.11788054
 0.26992928 0.09857663 0.03770424 0.2855103  0.06518761 0.40329596
 0.2106463  0.05458402 0.11270489 0.26632387 0.3781129  0.01884068
 0.04080588]","[0.72799546 0.64334729 0.68375053 0.76789595 0.87067008 0.71550677
 0.06342501 0.13452652 0.16118327]",5,ahead:behind
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.03942381 0.00110299]",3,"[1.74488921e-01 3.15273319e-01 2.61467145e-01 4.39474267e-01
 2.22644666e-01 1.39784966e-02 4.12664334e-01 2.11059499e-01
 1.98219618e-01 1.12270312e-02 3.73871527e-01 5.49717497e-02
 1.60908199e-01 1.43646611e-01 3.21032183e-01 4.85510862e-01
 6.25996981e-01 4.86615893e-01 5.30768701e-01 3.87964758e-04
 3.81109859e-01 3.93020395e-01 3.20405713e-01 2.43721022e-01
 2.15641442e-01 1.95734555e-01 3.28064616e-01 4.12205884e-01
 4.97765218e-01 2.43409866e-01 4.90403483e-01 2.02178490e-03
 1.46769899e-01 3.18845924e-04 4.63149314e-05 7.72403754e-01
 7.21532403e-01 2.60759492e-03 1.82621041e-02 3.99478025e-03
 1.35808000e-01 3.80223673e-01 5.44756601e-01 2.59198135e-01
 5.22407785e-01 7.25523991e-01 6.46370345e-02 6.42925292e-02
 3.47213994e-01 3.95534019e-01 4.28398724e-01 2.43392668e-01
 1.66682173e-01 7.45519376e-02 1.67251432e-01 4.85078546e-01
 1.24760961e-01 8.78571813e-01 6.82755206e-01 2.78020390e-01
 2.32693486e-01 5.18274260e-05 4.59689529e-01 7.74167388e-04
 7.33344077e-02 1.06747729e-01 3.35988430e-01 3.09989079e-01
 4.51818191e-01 2.53798741e-01 3.44320216e-01 5.13155079e-01
 3.29733213e-01 1.31667287e-01 6.04578802e-08 4.01807939e-01
 8.60215731e-02 1.20316740e-03 7.46459528e-03]","[0.48551086 0.38110986 0.32040571 0.21564144 0.32806462 0.24340987
 0.12476096 0.87857181 0.27802039]",8,anger:yell
"[0.         0.         0.         0.         0.         0.
 0.06101281 0.00110299 0.00110299]",3,"[0.00370956 0.08939755 0.00352048 0.29982233 0.31480435 0.38977779
 0.32292736 0.26620926 0.1504792  0.33517914 0.09552375 0.62227436
 0.22175911 0.47535735 0.62059649 0.16589142 0.00648763 0.05820831
 0.07058761 0.25786017 0.59586019 0.22960583 0.19011975 0.03130202
 0.58122745 0.45983135 0.51868932 0.55217828 0.50669023 0.18497351
 0.51828537 0.51903956 0.26684735 0.706434   0.44352308 0.48826564
 0.39446563 0.59706743 0.03377614 0.70787984 0.639628   0.38292681
 0.48462915 0.45530332 0.36789286 0.28305012 0.62610431 0.20086308
 0.20614446 0.17020726 0.13949149 0.4604892  0.3401476  0.06809674
 0.04373209 0.05486186 0.82363818 0.0495428  0.18959411 0.59583753
 0.38073871 0.69583157 0.59359699 0.49333922 0.41848938 0.08652737
 0.68975141 0.54226592 0.68816668 0.45379946 0.01485952 0.01219988
 0.5090347  0.30627674 0.72056489 0.39864282 0.56720902 0.28240507
 0.25028908]","[0.16589142 0.59586019 0.19011975 0.58122745 0.51868932 0.18497351
 0.82363818 0.0495428  0.59583753]",7,bath:cleanliness
"[0.         0.         0.         0.         0.         0.
 0.00110299 0.00110299 0.05517827]",3,"[0.02855372 0.03516909 0.1718944  0.53539961 0.63175885 0.04833185
 0.28547347 0.41830536 0.11462994 0.0283     0.14103191 0.48621222
 0.07690776 0.50128711 0.57388219 0.01039402 0.06857199 0.03495928
 0.00868732 0.43112409 0.11311408 0.04824157 0.03683529 0.10376418
 0.63521464 0.72361961 0.60715142 0.33119675 0.53729794 0.21378129
 0.21792587 0.56395273 0.69349608 0.48443144 0.07629775 0.13948308
 0.20955538 0.76026347 0.53018112 0.82905254 0.56782737 0.51593071
 0.62571996 0.52807146 0.4838342  0.02424446 0.44705183 0.51067252
 0.18625838 0.29703705 0.30463958 0.59640209 0.66409165 0.03489371
 0.37040634 0.08141987 0.38464404 0.03266116 0.12423947 0.87884585
 0.24004611 0.19223056 0.04013848 0.1018906  0.27744084 0.08594747
 0.04077086 0.53226957 0.20241731 0.24961461 0.21373723 0.42272009
 0.55706571 0.11090611 0.28516795 0.20312422 0.16323046 0.15877885
 0.30609789]","[0.01039402 0.11311408 0.03683529 0.63521464 0.60715142 0.21378129
 0.38464404 0.03266116 0.87884585]",9,bathe:clean
"[0.         0.         0.         0.00110299 0.04922101 0.00110299
 0.         0.         0.        ]",2,"[0.47832481 0.42861309 0.44588995 0.55203485 0.35478749 0.54338724
 0.32065765 0.55792945 0.34374534 0.25511819 0.34951491 0.40671118
 0.44901765 0.30354214 0.04822105 0.75488728 0.74459353 0.25585555
 0.2599889  0.69971646 0.64607914 0.72886479 0.52299339 0.67648777
 0.71114304 0.52768815 0.85720803 0.50110087 0.34351498 0.70630696
 0.03876372 0.23384576 0.32291852 0.45542267 0.22249045 0.27343879
 0.59750128 0.19438557 0.42254989 0.42924269 0.07079454 0.22793741
 0.00421999 0.51058571 0.00201905 0.07966207 0.20661633 0.60790636
 0.21255139 0.1753241  0.09620424 0.22618559 0.01387201 0.22349717
 0.05232466 0.14927055 0.11593393 0.17568368 0.13157366 0.19822293
 0.06363828 0.19893766 0.10819197 0.05606052 0.312331   0.29771997
 0.19241405 0.27697585 0.11756275 0.41031341 0.1703027  0.2368539
 0.10044852 0.09778042 0.08125192 0.27858688 0.42805301 0.16291541
 0.29276059]","[0.75488728 0.64607914 0.52299339 0.71114304 0.85720803 0.70630696
 0.11593393 0.17568368 0.19822293]",5,below:above
"[0.0779896  0.00110299 0.00110299 0.         0.         0.
 0.         0.         0.        ]",1,"[0.19484878 0.2135005  0.20859314 0.21141299 0.1482709  0.66772702
 0.26136865 0.63199182 0.6225495  0.49565671 0.15141827 0.49181688
 0.38405785 0.00895738 0.0304953  0.87855409 0.77485208 0.69951929
 0.60514449 0.58316468 0.57966396 0.74708629 0.21872449 0.77071715
 0.79690587 0.61355625 0.73796272 0.55637946 0.3758814  0.77489745
 0.01886532 0.13468373 0.09955511 0.17027071 0.14226598 0.19143444
 0.22697243 0.31481176 0.70336456 0.46541991 0.04144731 0.4046224
 0.00100709 0.58314312 0.02044708 0.08865722 0.29512093 0.60418705
 0.17312395 0.57347496 0.2201331  0.18539315 0.01487675 0.02452863
 0.09368491 0.0932893  0.01587361 0.13625043 0.01362175 0.1365856
 0.06284365 0.13906245 0.18633479 0.01038467 0.17927333 0.01437822
 0.02646126 0.09464222 0.04975365 0.094482   0.03239103 0.4953529
 0.1184     0.01190142 0.30406069 0.55804528 0.19710886 0.02366368
 0.25213371]","[0.87855409 0.57966396 0.21872449 0.79690587 0.73796272 0.77489745
 0.01587361 0.13625043 0.1365856 ]",1,big:large
