TrialTag,ABTag,CDTag,ABMainRel,CDMainRel,ABSubRel,CDSubRel,ProbeCorr,ProbeArr,AB,CD,Probe,Match
big:large::option:choice,big:large,option:choice,1,1,1,1,a,1,0,0,1,TRUE
boat:ship::big:large,boat:ship,big:large,1,1,1,1,a,1,0,0,1,TRUE
boat:ship::pants:trousers,boat:ship,pants:trousers,1,1,1,1,a,1,0,0,1,TRUE
couch:sofa::kid:child,couch:sofa,kid:child,1,1,1,1,l,2,0,0,1,TRUE
cute:adorable::raise:elevate,cute:adorable,raise:elevate,1,1,1,1,a,1,0,0,1,TRUE
house:home::boat:ship,house:home,boat:ship,1,1,1,1,a,1,0,0,1,TRUE
house:home::run:sprint,house:home,run:sprint,1,1,1,1,l,2,0,0,1,TRUE
kid:child::couch:sofa,kid:child,couch:sofa,1,1,1,1,l,2,0,0,1,TRUE
kid:child::make:manufacture,kid:child,make:manufacture,1,1,1,1,a,1,0,0,1,TRUE
option:choice::careful:cautious,option:choice,careful:cautious,1,1,1,1,l,2,0,0,1,TRUE
pants:trousers::spin:twirl,pants:trousers,spin:twirl,1,1,1,1,l,2,0,0,1,TRUE
pretty:beautiful::car:auto,pretty:beautiful,car:auto,1,1,1,1,a,1,0,0,1,TRUE
pretty:beautiful::teach:instruct,pretty:beautiful,teach:instruct,1,1,1,1,l,2,0,0,1,TRUE
raise:elevate::cute:adorable,raise:elevate,cute:adorable,1,1,1,1,l,2,0,0,1,TRUE
raise:elevate::pretty:beautiful,raise:elevate,pretty:beautiful,1,1,1,1,a,1,0,0,1,TRUE
spin:twirl::house:home,spin:twirl,house:home,1,1,1,1,a,1,0,0,1,TRUE
book:magazine::ladder:stairs,book:magazine,ladder:stairs,1,1,2,2,l,2,0,0,1,TRUE
chair:sofa::pencil:pen,chair:sofa,pencil:pen,1,1,2,2,a,1,0,0,1,TRUE
fence:hedge::hill:mountain,fence:hedge,hill:mountain,1,1,2,2,a,1,0,0,1,TRUE
fence:hedge::paper:parchment,fence:hedge,paper:parchment,1,1,2,2,l,2,0,0,1,TRUE
house:tent::book:magazine,house:tent,book:magazine,1,1,2,2,a,1,0,0,1,TRUE
ladder:stairs::table:desk,ladder:stairs,table:desk,1,1,2,2,a,1,0,0,1,TRUE
paper:parchment::chair:sofa,paper:parchment,chair:sofa,1,1,2,2,a,1,0,0,1,TRUE
paper:parchment::shovel:spoon,paper:parchment,shovel:spoon,1,1,2,2,l,2,0,0,1,TRUE
pencil:pen::fence:hedge,pencil:pen,fence:hedge,1,1,2,2,a,1,0,0,1,TRUE
picture:drawing::pillow:cushion,picture:drawing,pillow:cushion,1,1,2,2,l,2,0,0,1,TRUE
picture:drawing::sword:knife,picture:drawing,sword:knife,1,1,2,2,a,1,0,0,1,TRUE
pillow:cushion::rake:fork,pillow:cushion,rake:fork,1,1,2,2,l,2,0,0,1,TRUE
rake:fork::house:tent,rake:fork,house:tent,1,1,2,2,a,1,0,0,1,TRUE
