TrialTag,ABTag,CDTag,ABMainRel,CDMainRel,ABSubRel,CDSubRel,ProbeCorr,ProbeArr,AB,CD,Probe
accident:damage::make:manufacture,accident:damage,make:manufacture,3,1,7,1,l,1,0,0,1
bathe:clean::run:sprint,bathe:clean,run:sprint,3,1,9,1,a,2,0,0,1
big:large::option:choice,big:large,option:choice,1,1,1,1,a,1,0,0,1
boat:ship::big:large,boat:ship,big:large,1,1,1,1,a,1,0,0,1
boat:ship::pants:trousers,boat:ship,pants:trousers,1,1,1,1,a,1,0,0,1
bright:dark::cute:adorable,bright:dark,cute:adorable,2,1,4,1,a,2,0,0,1
climb:descend::pretty:beautiful,climb:descend,pretty:beautiful,2,1,5,1,a,2,0,0,1
coldness:shiver::couch:sofa,coldness:shiver,couch:sofa,3,1,8,1,l,1,0,0,1
couch:sofa::kid:child,couch:sofa,kid:child,1,1,1,1,l,2,0,0,1
cute:adorable::raise:elevate,cute:adorable,raise:elevate,1,1,1,1,a,1,0,0,1
drink:hydrate::house:home,drink:hydrate,house:home,3,1,9,1,a,2,0,0,1
east:west::car:auto,east:west,car:auto,2,1,5,1,l,1,0,0,1
fat:thin::kid:child,fat:thin,kid:child,2,1,4,1,a,2,0,0,1
heat:sweat::boat:ship,heat:sweat,boat:ship,3,1,8,1,l,1,0,0,1
high:down::option:choice,high:down,option:choice,2,1,6,1,a,2,0,0,1
house:home::boat:ship,house:home,boat:ship,1,1,1,1,a,1,0,0,1
house:home::run:sprint,house:home,run:sprint,1,1,1,1,l,2,0,0,1
kid:child::couch:sofa,kid:child,couch:sofa,1,1,1,1,l,2,0,0,1
kid:child::make:manufacture,kid:child,make:manufacture,1,1,1,1,a,1,0,0,1
option:choice::careful:cautious,option:choice,careful:cautious,1,1,1,1,l,2,0,0,1
pants:trousers::spin:twirl,pants:trousers,spin:twirl,1,1,1,1,l,2,0,0,1
pretty:beautiful::car:auto,pretty:beautiful,car:auto,1,1,1,1,a,1,0,0,1
pretty:beautiful::teach:instruct,pretty:beautiful,teach:instruct,1,1,1,1,l,2,0,0,1
pretty:ugly::spin:twirl,pretty:ugly,spin:twirl,2,1,4,1,a,2,0,0,1
raise:elevate::cute:adorable,raise:elevate,cute:adorable,1,1,1,1,l,2,0,0,1
raise:elevate::pretty:beautiful,raise:elevate,pretty:beautiful,1,1,1,1,a,1,0,0,1
sickness:medicate::raise:elevate,sickness:medicate,raise:elevate,3,1,8,1,a,2,0,0,1
spin:twirl::house:home,spin:twirl,house:home,1,1,1,1,a,1,0,0,1
tiredness:rest::big:large,tiredness:rest,big:large,3,1,8,1,l,1,0,0,1
top:bottom::pants:trousers,top:bottom,pants:trousers,2,1,5,1,a,2,0,0,1
top:bottom::teach:instruct,top:bottom,teach:instruct,2,1,5,1,a,2,0,0,1
wash:clean::careful:cautious,wash:clean,careful:cautious,3,1,9,1,a,2,0,0,1
accept:reject::chair:sofa,accept:reject,chair:sofa,2,1,4,2,l,1,0,0,1
advertise:promote::paper:parchment,advertise:promote,paper:parchment,3,1,9,2,a,2,0,0,1
bath:cleanliness::pencil:pen,bath:cleanliness,pencil:pen,3,1,7,2,a,2,0,0,1
book:magazine::ladder:stairs,book:magazine,ladder:stairs,1,1,2,2,l,2,0,0,1
bright:dull::ladder:stairs,bright:dull,ladder:stairs,2,1,6,2,a,2,0,0,1
chair:sofa::pencil:pen,chair:sofa,pencil:pen,1,1,2,2,a,1,0,0,1
coldness:shiver::sword:knife,coldness:shiver,sword:knife,3,1,8,2,a,2,0,0,1
dark:light::hill:mountain,dark:light,hill:mountain,2,1,4,2,l,1,0,0,1
exercise:fitness::pillow:cushion,exercise:fitness,pillow:cushion,3,1,7,2,a,2,0,0,1
explosion:damage::book:magazine,explosion:damage,book:magazine,3,1,7,2,l,1,0,0,1
fence:hedge::hill:mountain,fence:hedge,hill:mountain,1,1,2,2,a,1,0,0,1
fence:hedge::paper:parchment,fence:hedge,paper:parchment,1,1,2,2,l,2,0,0,1
front:back::wagon:trailer,front:back,wagon:trailer,2,1,5,2,l,1,0,0,1
house:tent::book:magazine,house:tent,book:magazine,1,1,2,2,a,1,0,0,1
ladder:stairs::table:desk,ladder:stairs,table:desk,1,1,2,2,a,1,0,0,1
loud:discreet::picture:drawing,loud:discreet,picture:drawing,2,1,6,2,a,2,0,0,1
majority:small::house:tent,majority:small,house:tent,2,1,6,2,l,1,0,0,1
paper:parchment::chair:sofa,paper:parchment,chair:sofa,1,1,2,2,a,1,0,0,1
paper:parchment::shovel:spoon,paper:parchment,shovel:spoon,1,1,2,2,l,2,0,0,1
pencil:pen::fence:hedge,pencil:pen,fence:hedge,1,1,2,2,a,1,0,0,1
picture:drawing::pillow:cushion,picture:drawing,pillow:cushion,1,1,2,2,l,2,0,0,1
picture:drawing::sword:knife,picture:drawing,sword:knife,1,1,2,2,a,1,0,0,1
pillow:cushion::rake:fork,pillow:cushion,rake:fork,1,1,2,2,l,2,0,0,1
powerful:meek::rake:fork,powerful:meek,rake:fork,2,1,6,2,l,1,0,0,1
rake:fork::house:tent,rake:fork,house:tent,1,1,2,2,a,1,0,0,1
rise:sink::shovel:spoon,rise:sink,shovel:spoon,2,1,5,2,a,2,0,0,1
sadness:cry::table:desk,sadness:cry,table:desk,3,1,8,2,a,2,0,0,1
table:desk::wagon:trailer,table:desk,wagon:trailer,1,1,2,2,a,1,0,0,1
thirsty:drink::fence:hedge,thirsty:drink,fence:hedge,3,1,8,2,a,2,0,0,1
wagon:trailer::picture:drawing,wagon:trailer,picture:drawing,1,1,2,2,l,2,0,0,1
wagon:trailer::stairs:ladder,wagon:trailer,stairs:ladder,1,1,2,2,a,1,0,0,1
work:earn::stairs:ladder,work:earn,stairs:ladder,3,1,9,2,a,2,0,0,1
acceleration:speed::inflation:price,acceleration:speed,inflation:price,1,1,3,3,a,1,0,0,1
accept:reject::lower:volume,accept:reject,lower:volume,2,1,4,3,l,1,0,0,1
below:above::raise:salary,below:above,raise:salary,2,1,5,3,a,2,0,0,1
black:white::terror:fear,black:white,terror:fear,2,1,4,3,a,2,0,0,1
danger:flee::force:pressure,danger:flee,force:pressure,3,1,8,3,a,2,0,0,1
darken:color::soften:voice,darken:color,soften:voice,1,1,3,3,l,2,0,0,1
darken:color::terror:fear,darken:color,terror:fear,1,1,3,3,a,1,0,0,1
death:population::flood:water,death:population,flood:water,1,1,3,3,l,2,0,0,1
difficult:easy::inflation:price,difficult:easy,inflation:price,2,1,4,3,a,2,0,0,1
dirty:clean::darken:color,dirty:clean,darken:color,2,1,4,3,a,2,0,0,1
discount:price::heat:temperature,discount:price,heat:temperature,1,1,3,3,a,1,0,0,1
disease:sickness::flood:water,disease:sickness,flood:water,3,1,7,3,l,1,0,0,1
fire:burns::dim:light,fire:burns,dim:light,3,1,7,3,a,2,0,0,1
flee:escape::soften:voice,flee:escape,soften:voice,3,1,9,3,a,2,0,0,1
flood:water::death:population,flood:water,death:population,1,1,3,3,l,2,0,0,1
force:pressure::acceleration:speed,force:pressure,acceleration:speed,1,1,3,3,a,1,0,0,1
force:pressure::speed:movement,force:pressure,speed:movement,1,1,3,3,l,2,0,0,1
