Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0178	2.0084	heater:warmth::climb:descend	heater:warmth	None	None	3	None	7	None	0	0	0	1	0	0
6.2276	2.0157	heater:warmth::climb:descend	None	climb:descend	0	None	2	None	5	0	0	0	0	1	0
9.1338	1.2595	heater:warmth::climb:descend	heater:warmth	climb:descend	0	3	2	7	5	['a']	l	1	0	0	1
11.4136	2.0124	in:out::left:right	in:out	None	None	2	None	5	None	0	0	0	1	0	0
14.2295	2.0140	in:out::left:right	None	left:right	1	None	2	None	5	0	0	0	0	1	0
19.5860	1.2078	in:out::left:right	in:out	left:right	1	2	2	5	5	['l']	l	2	0	0	1
21.8093	2.0128	darken:color::soften:voice	darken:color	None	None	1	None	3	None	0	0	0	1	0	0
25.3844	2.0057	darken:color::soften:voice	None	soften:voice	1	None	1	None	3	0	0	0	0	1	0
28.5425	2.4520	darken:color::soften:voice	darken:color	soften:voice	1	1	1	3	3	['a']	l	2	0	0	1
32.0123	2.0121	black:white::terror:fear	black:white	None	None	2	None	4	None	0	0	0	1	0	0
34.6830	2.0097	black:white::terror:fear	None	terror:fear	0	None	1	None	3	0	0	0	0	1	0
37.6440	0.7981	black:white::terror:fear	black:white	terror:fear	0	2	1	4	3	['a']	a	2	0	0	1
39.4650	2.0128	drink:hydrate::house:home	drink:hydrate	None	None	3	None	9	None	0	0	0	1	0	0
42.1113	2.0145	drink:hydrate::house:home	None	house:home	0	None	1	None	1	0	0	0	0	1	0
44.8943	0.5800	drink:hydrate::house:home	drink:hydrate	house:home	0	3	1	9	1	['a']	a	2	0	0	1
46.5008	2.0145	powerful:meek::rake:fork	powerful:meek	None	None	2	None	6	None	0	0	0	1	0	0
49.4730	2.0106	powerful:meek::rake:fork	None	rake:fork	0	None	1	None	2	0	0	0	0	1	0
52.7358	0.6418	powerful:meek::rake:fork	powerful:meek	rake:fork	0	2	1	6	2	['a']	a	2	0	0	1
54.4035	2.0098	pretty:beautiful::teach:instruct	pretty:beautiful	None	None	1	None	1	None	0	0	0	1	0	0
56.9531	2.0100	pretty:beautiful::teach:instruct	None	teach:instruct	1	None	1	None	1	0	0	0	0	1	0
60.6499	0.6079	pretty:beautiful::teach:instruct	pretty:beautiful	teach:instruct	1	1	1	1	1	['l']	l	2	0	0	1
62.2834	2.0109	rise:tide::dirty:clean	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0
65.1569	2.0056	rise:tide::dirty:clean	None	dirty:clean	0	None	2	None	4	0	0	0	0	1	0
68.1673	1.5306	rise:tide::dirty:clean	rise:tide	dirty:clean	0	1	2	3	4	['l']	a	2	0	0	1
70.7224	2.0100	wash:clean::cook:eat	wash:clean	None	None	3	None	9	None	0	0	0	1	0	0
73.5890	2.0114	wash:clean::cook:eat	None	cook:eat	1	None	3	None	9	0	0	0	0	1	0
76.8541	0.5963	wash:clean::cook:eat	wash:clean	cook:eat	1	3	3	9	9	['a']	a	1	0	0	1
78.4699	2.0113	day:evening::speak:express	day:evening	None	None	2	None	6	None	0	0	0	1	0	0
81.1556	2.0066	day:evening::speak:express	None	speak:express	0	None	3	None	9	0	0	0	0	1	0
84.5631	0.7993	day:evening::speak:express	day:evening	speak:express	0	2	3	6	9	['l']	l	1	0	0	1
86.3875	2.0057	dim:light::joke:laughter	dim:light	None	None	1	None	3	None	0	0	0	1	0	0
90.5340	2.0104	dim:light::joke:laughter	None	joke:laughter	0	None	3	None	7	0	0	0	0	1	0
93.9107	0.8997	dim:light::joke:laughter	dim:light	joke:laughter	0	1	3	3	7	['l']	l	1	0	0	1
95.8260	2.0067	discount:price::heat:temperature	discount:price	None	None	1	None	3	None	0	0	0	1	0	0
98.5817	2.0193	discount:price::heat:temperature	None	heat:temperature	1	None	1	None	3	0	0	0	0	1	0
101.4641	0.6668	discount:price::heat:temperature	discount:price	heat:temperature	1	1	1	3	3	['l']	a	1	0	0	1
103.1538	2.0113	paper:parchment::chair:sofa	paper:parchment	None	None	1	None	2	None	0	0	0	1	0	0
105.7910	2.0075	paper:parchment::chair:sofa	None	chair:sofa	1	None	1	None	2	0	0	0	0	1	0
110.4122	1.1827	paper:parchment::chair:sofa	paper:parchment	chair:sofa	1	1	1	2	2	['a']	l	2	0	0	1
112.6066	2.0116	dirtiness:bathe::front:back	dirtiness:bathe	None	None	3	None	8	None	0	0	0	1	0	0
115.3605	2.0097	dirtiness:bathe::front:back	None	front:back	0	None	2	None	5	0	0	0	0	1	0
117.9450	0.5460	dirtiness:bathe::front:back	dirtiness:bathe	front:back	0	3	2	8	5	['a']	a	2	0	0	1
119.5078	2.0113	nervousness:sweat::coldness:shiver	nervousness:sweat	None	None	3	None	8	None	0	0	0	1	0	0
123.5928	2.0091	nervousness:sweat::coldness:shiver	None	coldness:shiver	1	None	3	None	8	0	0	0	0	1	0
126.5823	0.4933	nervousness:sweat::coldness:shiver	nervousness:sweat	coldness:shiver	1	3	3	8	8	['a']	a	1	0	0	1
128.0889	2.0116	run:sprint::under:over	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0
131.0983	2.0055	run:sprint::under:over	None	under:over	0	None	2	None	5	0	0	0	0	1	0
134.2258	0.6013	run:sprint::under:over	run:sprint	under:over	0	1	2	1	5	['a']	a	2	0	0	1
135.8455	2.0103	east:west::car:auto	east:west	None	None	2	None	5	None	0	0	0	1	0	0
139.9497	2.0067	east:west::car:auto	None	car:auto	0	None	1	None	1	0	0	0	0	1	0
142.9130	0.8348	east:west::car:auto	east:west	car:auto	0	2	1	5	1	['a']	a	2	0	0	1
144.7734	2.0129	stimulus:response::workout:sweat	stimulus:response	None	None	3	None	7	None	0	0	0	1	0	0
148.1962	2.0079	stimulus:response::workout:sweat	None	workout:sweat	1	None	3	None	7	0	0	0	0	1	0
151.1475	0.6794	stimulus:response::workout:sweat	stimulus:response	workout:sweat	1	3	3	7	7	['a']	a	1	0	0	1
152.8509	2.0103	rise:sink::shovel:spoon	rise:sink	None	None	2	None	5	None	0	0	0	1	0	0
155.9806	2.0154	rise:sink::shovel:spoon	None	shovel:spoon	0	None	1	None	2	0	0	0	0	1	0
159.2887	0.6269	rise:sink::shovel:spoon	rise:sink	shovel:spoon	0	2	1	5	2	['l']	l	1	0	0	1
160.9283	2.0104	accept:reject::lower:volume	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0
164.3432	2.0104	accept:reject::lower:volume	None	lower:volume	0	None	1	None	3	0	0	0	0	1	0
167.0619	0.7174	accept:reject::lower:volume	accept:reject	lower:volume	0	2	1	4	3	['l']	l	1	0	0	1
168.8041	2.0116	low:up::funny:serious	low:up	None	None	2	None	6	None	0	0	0	1	0	0
171.4656	2.0081	low:up::funny:serious	None	funny:serious	1	None	2	None	6	0	0	0	0	1	0
174.3506	0.5725	low:up::funny:serious	low:up	funny:serious	1	2	2	6	6	['a']	a	1	0	0	1
175.9476	2.0133	disease:sickness::flood:water	disease:sickness	None	None	3	None	7	None	0	0	0	1	0	0
179.0002	2.0139	disease:sickness::flood:water	None	flood:water	0	None	1	None	3	0	0	0	0	1	0
181.8738	0.4656	disease:sickness::flood:water	disease:sickness	flood:water	0	3	1	7	3	['a']	l	1	0	0	1
183.3485	2.0125	trim:shorten::study:learn	trim:shorten	None	None	3	None	9	None	0	0	0	1	0	0
186.0656	2.0140	trim:shorten::study:learn	None	study:learn	1	None	3	None	9	0	0	0	0	1	0
188.7904	0.6771	trim:shorten::study:learn	trim:shorten	study:learn	1	3	3	9	9	['l']	l	2	0	0	1
190.4923	2.0114	thirsty:drink::anger:yell	thirsty:drink	None	None	3	None	8	None	0	0	0	1	0	0
193.1723	2.0118	thirsty:drink::anger:yell	None	anger:yell	1	None	3	None	8	0	0	0	0	1	0
196.0637	0.5402	thirsty:drink::anger:yell	thirsty:drink	anger:yell	1	3	3	8	8	['a']	a	1	0	0	1
197.6277	2.0128	loss:grief::fire:burns	loss:grief	None	None	3	None	7	None	0	0	0	1	0	0
200.5932	2.0149	loss:grief::fire:burns	None	fire:burns	1	None	3	None	7	0	0	0	0	1	0
204.4082	0.6445	loss:grief::fire:burns	loss:grief	fire:burns	1	3	3	7	7	['l']	l	2	0	0	1
206.0629	2.0118	pencil:pen::fence:hedge	pencil:pen	None	None	1	None	2	None	0	0	0	1	0	0
208.7066	2.0166	pencil:pen::fence:hedge	None	fence:hedge	1	None	1	None	2	0	0	0	0	1	0
213.2697	1.1820	pencil:pen::fence:hedge	pencil:pen	fence:hedge	1	1	1	2	2	['l']	l	2	0	0	1
215.4701	2.0091	cute:adorable::burnish:shine	cute:adorable	None	None	1	None	1	None	0	0	0	1	0	0
218.1610	2.0134	cute:adorable::burnish:shine	None	burnish:shine	0	None	3	None	9	0	0	0	0	1	0
220.7249	0.7285	cute:adorable::burnish:shine	cute:adorable	burnish:shine	0	1	3	1	9	['a']	l	1	0	0	1
222.4778	2.0128	hill:mountain::danger:flee	hill:mountain	None	None	1	None	2	None	0	0	0	1	0	0
225.0439	2.0150	hill:mountain::danger:flee	None	danger:flee	0	None	3	None	8	0	0	0	0	1	0
227.9271	0.6375	hill:mountain::danger:flee	hill:mountain	danger:flee	0	1	3	2	8	['a']	a	2	0	0	1
229.5810	2.0126	up:down::high:low	up:down	None	None	2	None	5	None	0	0	0	1	0	0
232.5515	2.0109	up:down::high:low	None	high:low	1	None	2	None	5	0	0	0	0	1	0
235.2419	0.4905	up:down::high:low	up:down	high:low	1	2	2	5	5	['a']	a	1	0	0	1
236.7527	2.0141	boat:ship::big:large	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0
239.3014	2.0151	boat:ship::big:large	None	big:large	1	None	1	None	1	0	0	0	0	1	0
242.2851	0.5518	boat:ship::big:large	boat:ship	big:large	1	1	1	1	1	['a']	a	1	0	0	1
243.8535	2.0110	warm:cool::hot:cold	warm:cool	None	None	2	None	4	None	0	0	0	1	0	0
246.7612	2.0128	warm:cool::hot:cold	None	hot:cold	1	None	2	None	4	0	0	0	0	1	0
250.0119	0.7446	warm:cool::hot:cold	warm:cool	hot:cold	1	2	2	4	4	['l']	l	2	0	0	1
251.7822	2.0067	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	None	None	2	None	6	None	0	0	0	1	0	0
255.3416	2.0160	enthusiastic:lazy::witty:dumb	None	witty:dumb	1	None	2	None	6	0	0	0	0	1	0
258.1230	0.6978	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	witty:dumb	1	2	2	6	6	['a']	a	1	0	0	1
259.8359	2.0126	tiredness:rest::dark:light	tiredness:rest	None	None	3	None	8	None	0	0	0	1	0	0
262.5040	2.0088	tiredness:rest::dark:light	None	dark:light	0	None	2	None	4	0	0	0	0	1	0
265.7088	0.5759	tiredness:rest::dark:light	tiredness:rest	dark:light	0	3	2	8	4	['l']	a	2	0	0	1
267.3039	2.0122	good:bad::tall:short	good:bad	None	None	2	None	4	None	0	0	0	1	0	0
269.8973	2.0194	good:bad::tall:short	None	tall:short	1	None	2	None	4	0	0	0	0	1	0
272.4733	0.7159	good:bad::tall:short	good:bad	tall:short	1	2	2	4	4	['l']	l	2	0	0	1
274.2038	2.0120	sword:knife::accident:damage	sword:knife	None	None	1	None	2	None	0	0	0	1	0	0
277.3497	2.0133	sword:knife::accident:damage	None	accident:damage	0	None	3	None	7	0	0	0	0	1	0
280.5827	0.6552	sword:knife::accident:damage	sword:knife	accident:damage	0	1	3	2	7	['l']	l	1	0	0	1
282.2517	2.0092	work:earn::stairs:ladder	work:earn	None	None	3	None	9	None	0	0	0	1	0	0
285.0231	2.0056	work:earn::stairs:ladder	None	stairs:ladder	0	None	1	None	2	0	0	0	0	1	0
288.3196	0.7017	work:earn::stairs:ladder	work:earn	stairs:ladder	0	3	1	9	2	['l']	l	1	0	0	1
