ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.0178,2.0084,6.2276,2.0157,9.1338,1.2595,heater:warmth::climb:descend,0,['a'],l
11.4136,2.0124,14.2295,2.0140,19.5860,1.2078,in:out::left:right,1,['l'],l
21.8093,2.0128,25.3844,2.0057,28.5425,2.4520,darken:color::soften:voice,1,['a'],l
32.0123,2.0121,34.6830,2.0097,37.6440,0.7981,black:white::terror:fear,0,['a'],a
39.4650,2.0128,42.1113,2.0145,44.8943,0.5800,drink:hydrate::house:home,0,['a'],a
46.5008,2.0145,49.4730,2.0106,52.7358,0.6418,powerful:meek::rake:fork,0,['a'],a
54.4035,2.0098,56.9531,2.0100,60.6499,0.6079,pretty:beautiful::teach:instruct,1,['l'],l
62.2834,2.0109,65.1569,2.0056,68.1673,1.5306,rise:tide::dirty:clean,0,['l'],a
70.7224,2.0100,73.5890,2.0114,76.8541,0.5963,wash:clean::cook:eat,1,['a'],a
78.4699,2.0113,81.1556,2.0066,84.5631,0.7993,day:evening::speak:express,0,['l'],l
86.3875,2.0057,90.5340,2.0104,93.9107,0.8997,dim:light::joke:laughter,0,['l'],l
95.8260,2.0067,98.5817,2.0193,101.4641,0.6668,discount:price::heat:temperature,1,['l'],a
103.1538,2.0113,105.7910,2.0075,110.4122,1.1827,paper:parchment::chair:sofa,1,['a'],l
112.6066,2.0116,115.3605,2.0097,117.9450,0.5460,dirtiness:bathe::front:back,0,['a'],a
119.5078,2.0113,123.5928,2.0091,126.5823,0.4933,nervousness:sweat::coldness:shiver,1,['a'],a
128.0889,2.0116,131.0983,2.0055,134.2258,0.6013,run:sprint::under:over,0,['a'],a
135.8455,2.0103,139.9497,2.0067,142.9130,0.8348,east:west::car:auto,0,['a'],a
144.7734,2.0129,148.1962,2.0079,151.1475,0.6794,stimulus:response::workout:sweat,1,['a'],a
152.8509,2.0103,155.9806,2.0154,159.2887,0.6269,rise:sink::shovel:spoon,0,['l'],l
160.9283,2.0104,164.3432,2.0104,167.0619,0.7174,accept:reject::lower:volume,0,['l'],l
168.8041,2.0116,171.4656,2.0081,174.3506,0.5725,low:up::funny:serious,1,['a'],a
175.9476,2.0133,179.0002,2.0139,181.8738,0.4656,disease:sickness::flood:water,0,['a'],l
183.3485,2.0125,186.0656,2.0140,188.7904,0.6771,trim:shorten::study:learn,1,['l'],l
190.4923,2.0114,193.1723,2.0118,196.0637,0.5402,thirsty:drink::anger:yell,1,['a'],a
197.6277,2.0128,200.5932,2.0149,204.4082,0.6445,loss:grief::fire:burns,1,['l'],l
206.0629,2.0118,208.7066,2.0166,213.2697,1.1820,pencil:pen::fence:hedge,1,['l'],l
215.4701,2.0091,218.1610,2.0134,220.7249,0.7285,cute:adorable::burnish:shine,0,['a'],l
222.4778,2.0128,225.0439,2.0150,227.9271,0.6375,hill:mountain::danger:flee,0,['a'],a
229.5810,2.0126,232.5515,2.0109,235.2419,0.4905,up:down::high:low,1,['a'],a
236.7527,2.0141,239.3014,2.0151,242.2851,0.5518,boat:ship::big:large,1,['a'],a
243.8535,2.0110,246.7612,2.0128,250.0119,0.7446,warm:cool::hot:cold,1,['l'],l
251.7822,2.0067,255.3416,2.0160,258.1230,0.6978,enthusiastic:lazy::witty:dumb,1,['a'],a
259.8359,2.0126,262.5040,2.0088,265.7088,0.5759,tiredness:rest::dark:light,0,['l'],a
267.3039,2.0122,269.8973,2.0194,272.4733,0.7159,good:bad::tall:short,1,['l'],l
274.2038,2.0120,277.3497,2.0133,280.5827,0.6552,sword:knife::accident:damage,0,['l'],l
282.2517,2.0092,285.0231,2.0056,288.3196,0.7017,work:earn::stairs:ladder,0,['l'],l
