ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.0382,2.0076,6.4112,1.9985,8.9975,0.6291,climb:descend::work:earn,0,['l'],l
10.6567,2.0115,13.6693,2.0149,16.3269,0.6403,funny:serious::fright:scream,0,['l'],l
18.0006,2.0124,20.8319,2.0095,25.0943,0.6442,dirty:clean::thirsty:drink,0,['a'],l
26.7718,1.9965,29.3051,2.0103,31.8865,1.2270,loneliness:socialize::nervousness:sweat,1,['a'],l
34.1448,2.0130,37.0344,1.9954,40.4226,0.8105,rake:fork::house:tent,1,['a'],a
42.2543,2.0012,44.9590,2.0060,48.1873,0.8750,anger:yell::smiling:sad,0,['l'],a
50.0948,2.0119,52.7481,2.0003,55.3340,1.4131,heat:temperature::ignite:burn,0,['a'],l
57.7695,2.0140,60.3949,2.0141,63.0366,1.8563,accident:damage::make:manufacture,0,['a'],l
65.9103,2.0036,68.4929,1.9997,71.0137,1.0086,north:south::ahead:behind,1,['a'],a
73.0446,2.0152,75.9212,2.0115,78.7485,2.3580,shovel:spoon::tiredness:rest,0,['l'],a
82.1371,2.0159,84.9346,2.0005,87.9252,0.8037,car:auto::rise:sink,0,['l'],l
89.7522,2.0154,92.8326,2.0142,95.9933,0.7980,soften:voice::darken:color,1,['l'],l
97.8260,2.0115,101.3241,2.0139,104.0937,0.6143,injury:pain::death:population,0,['l'],a
105.7204,2.0037,108.3034,2.0149,111.1396,0.8456,lower:volume::discount:price,1,['l'],l
113.0126,2.0149,115.5903,2.0157,118.2644,0.6874,majority:small::just:unfair,1,['a'],a
119.9819,2.0001,122.8915,2.0135,125.9035,1.6661,heat:sweat::sickness:medicate,1,['l'],l
128.5918,2.0003,131.3280,2.0152,134.1745,0.6827,kid:child::couch:sofa,1,['l'],l
135.8747,1.9982,138.7651,2.0151,143.5890,0.5397,high:down::option:choice,0,['a'],a
145.1477,2.0030,147.7308,2.0141,150.4201,0.7864,raise:elevate::pretty:beautiful,1,['a'],a
152.2304,2.0154,155.3250,2.0113,157.9340,0.4399,tall:short::black:white,1,['a'],a
159.4026,2.0143,162.8181,2.0136,165.9468,0.5768,front:back::interior:exterior,1,['l'],l
167.5456,2.0139,171.0045,2.0093,173.6615,0.5857,exercise:fitness::repetition:boredom,1,['a'],a
175.2664,2.0066,178.1014,1.9896,181.0963,0.5976,stairs:ladder::big:small,0,['a'],a
182.7176,2.0151,185.2661,2.0023,189.2564,0.7677,breathe:live::forward:backward,0,['a'],a
191.0528,2.0043,193.8256,2.0134,196.8582,0.5449,difficult:easy::inflation:price,0,['a'],a
198.4360,2.0134,201.4987,2.0142,204.4529,0.3199,acceleration:speed::enthusiastic:lazy,0,['a'],l
205.7969,2.0024,209.2242,2.0141,212.3039,1.2492,careful:cautious::explosion:damage,0,['l'],a
214.5804,2.0120,217.3595,2.0133,220.3446,0.9430,below:above::raise:salary,0,['a'],a
222.3133,2.0133,224.9681,2.0088,229.4411,0.6329,advertise:promote::wash:clean,1,['l'],l
231.1020,2.0010,234.6967,2.0004,238.2622,0.7550,hot:cold::old:young,1,['a'],a
240.0418,2.0002,242.9652,2.0149,245.5926,0.5890,fire:burns::heater:warmth,1,['a'],a
247.1941,2.0142,249.8224,2.0115,252.8996,0.6449,picture:drawing::pillow:cushion,1,['l'],l
254.5694,2.0153,257.5525,2.0015,260.4953,0.4851,danger:flee::in:out,0,['a'],a
262.0091,2.0148,265.6511,2.0017,268.5938,0.6143,burnish:shine::trim:shorten,1,['a'],a
270.2313,2.0022,274.0945,2.0117,276.6553,0.4927,good:wrong::loud:discreet,1,['a'],a
278.1651,1.9904,281.3097,2.0152,283.8584,2.2003,cook:eat::day:evening,0,['a'],l
