ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.0115,2.0128,6.8487,2.0082,10.0183,0.7653,hill:mountain::danger:flee,0,['l'],l
11.7954,2.0131,14.5901,2.0186,17.2697,1.0661,rise:tide::dirty:clean,0,['l'],l
19.3512,2.0124,22.0269,2.0068,25.7504,1.0256,in:out::left:right,1,['l'],l
27.7915,2.0133,30.4281,2.0111,33.3838,1.3924,pencil:pen::fence:hedge,1,['l'],l
35.7905,2.0157,38.4358,2.0043,41.0155,0.8247,east:west::car:auto,0,['a'],a
42.8618,2.0116,45.4111,2.0134,48.6202,0.9642,boat:ship::big:large,1,['a'],a
50.5979,2.0113,53.3722,2.0036,56.0299,0.7309,black:white::terror:fear,0,['l'],l
57.7868,2.0118,60.5153,2.0164,63.1566,0.7960,accept:reject::lower:volume,0,['a'],a
64.9739,2.0116,68.4973,2.0061,71.2521,0.8768,day:evening::speak:express,0,['l'],l
73.1402,2.0126,76.1337,2.0043,79.2338,1.2552,rise:sink::shovel:spoon,0,['l'],l
81.5123,2.0213,84.7616,2.0222,87.7400,0.6211,heater:warmth::climb:descend,0,['l'],l
89.3863,2.0066,92.6543,2.0198,95.5050,0.7123,work:earn::stairs:ladder,0,['l'],l
97.2370,2.0130,100.0111,2.0233,103.0294,0.7408,dirtiness:bathe::front:back,0,['l'],l
104.7963,2.0132,107.7933,2.0148,111.7238,0.6940,good:bad::tall:short,1,['l'],l
113.4470,2.0108,117.0798,2.0149,119.8209,0.9889,thirsty:drink::anger:yell,1,['l'],l
121.8336,2.0131,125.7036,2.0127,129.0296,0.7323,stimulus:response::workout:sweat,1,['a'],a
130.7853,2.0128,133.6579,2.0222,136.4622,0.7483,cute:adorable::burnish:shine,0,['l'],l
138.2315,2.0132,140.8997,2.0130,143.8802,1.2581,dim:light::joke:laughter,0,['a'],a
146.1569,2.0132,148.9788,2.0204,152.5951,0.8393,warm:cool::hot:cold,1,['l'],l
154.4552,2.0113,157.3909,2.0222,160.1802,1.0784,pretty:beautiful::teach:instruct,1,['l'],l
162.2870,2.0177,164.9913,2.0152,168.8538,0.6851,darken:color::soften:voice,1,['l'],l
170.5591,2.0125,173.3204,2.0171,176.3782,0.9369,powerful:meek::rake:fork,0,['a'],a
178.3391,2.0129,181.0484,2.0211,183.7963,0.7269,drink:hydrate::house:home,0,['l'],l
185.5473,2.0113,188.2471,2.0101,191.7222,0.7453,sword:knife::accident:damage,0,['a'],a
193.4944,2.0130,196.8928,2.0130,199.8992,1.0965,loss:grief::fire:burns,1,['l'],l
202.0139,2.0085,205.0368,2.0212,208.2348,1.3209,disease:sickness::flood:water,0,['a'],a
210.5838,2.0107,213.2783,2.0159,216.1491,0.7348,up:down::high:low,1,['a'],a
217.8968,2.0130,220.8244,2.0203,223.4415,1.3465,run:sprint::under:over,0,['a'],a
225.8098,2.0116,228.9109,2.0223,231.4573,0.7474,low:up::funny:serious,1,['l'],a
233.2211,2.0135,236.2116,2.0068,239.2678,1.2408,wash:clean::cook:eat,1,['l'],a
241.5232,2.0128,244.7011,2.0197,247.2491,1.2279,paper:parchment::chair:sofa,1,['l'],l
249.2469,2.0105,251.9995,2.0222,256.1099,0.6378,discount:price::heat:temperature,1,['a'],a
257.7742,2.0119,260.4952,2.0093,264.0364,0.7673,tiredness:rest::dark:light,0,['l'],l
265.8192,2.0124,268.6760,2.0107,271.5291,0.7072,trim:shorten::study:learn,1,['a'],a
273.2593,2.0108,276.9469,2.0215,279.7990,0.6772,enthusiastic:lazy::witty:dumb,1,['l'],l
281.4908,2.0119,284.2105,2.0081,287.1100,0.9025,nervousness:sweat::coldness:shiver,1,['l'],l
