Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0119	2.0112	paper:parchment::chair:sofa	paper:parchment	None	None	1	None	2	None	0	0	0	1	0	0
7.4447	2.0125	paper:parchment::chair:sofa	None	chair:sofa	1	None	1	None	2	0	0	0	0	1	0
10.1446	0.5046	paper:parchment::chair:sofa	paper:parchment	chair:sofa	1	1	1	2	2	['a']	a	2	0	0	1
11.6611	2.0116	thirsty:drink::anger:yell	thirsty:drink	None	None	3	None	8	None	0	0	0	1	0	0
14.2835	2.0066	thirsty:drink::anger:yell	None	anger:yell	1	None	3	None	8	0	0	0	0	1	0
16.9815	1.1405	thirsty:drink::anger:yell	thirsty:drink	anger:yell	1	3	3	8	8	['l']	l	1	0	0	1
19.1395	2.0117	up:down::high:low	up:down	None	None	2	None	5	None	0	0	0	1	0	0
21.9459	2.0058	up:down::high:low	None	high:low	1	None	2	None	5	0	0	0	0	1	0
24.5439	0.6913	up:down::high:low	up:down	high:low	1	2	2	5	5	['a']	a	2	0	0	1
26.2506	2.0120	accept:reject::lower:volume	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0
29.9048	2.0163	accept:reject::lower:volume	None	lower:volume	0	None	1	None	3	0	0	0	0	1	0
32.9348	1.3958	accept:reject::lower:volume	accept:reject	lower:volume	0	2	1	4	3	['a']	a	1	0	0	1
35.3437	2.0126	heater:warmth::climb:descend	heater:warmth	None	None	3	None	7	None	0	0	0	1	0	0
38.2109	2.0134	heater:warmth::climb:descend	None	climb:descend	0	None	2	None	5	0	0	0	0	1	0
40.7553	1.0950	heater:warmth::climb:descend	heater:warmth	climb:descend	0	3	2	7	5	['a']	a	1	0	0	1
42.8754	2.0124	in:out::left:right	in:out	None	None	2	None	5	None	0	0	0	1	0	0
45.5828	2.0127	in:out::left:right	None	left:right	1	None	2	None	5	0	0	0	0	1	0
48.4106	0.4716	in:out::left:right	in:out	left:right	1	2	2	5	5	['l']	l	1	0	0	1
49.9025	2.0172	east:west::car:auto	east:west	None	None	2	None	5	None	0	0	0	1	0	0
52.9008	2.0045	east:west::car:auto	None	car:auto	0	None	1	None	1	0	0	0	0	1	0
55.9012	0.6775	east:west::car:auto	east:west	car:auto	0	2	1	5	1	['a']	a	1	0	0	1
57.5950	2.0131	day:evening::speak:express	day:evening	None	None	2	None	6	None	0	0	0	1	0	0
60.6414	2.0147	day:evening::speak:express	None	speak:express	0	None	3	None	9	0	0	0	0	1	0
63.9142	0.7212	day:evening::speak:express	day:evening	speak:express	0	2	3	6	9	['a']	a	1	0	0	1
65.6462	2.0086	powerful:meek::rake:fork	powerful:meek	None	None	2	None	6	None	0	0	0	1	0	0
69.0121	2.0114	powerful:meek::rake:fork	None	rake:fork	0	None	1	None	2	0	0	0	0	1	0
71.6458	1.3173	powerful:meek::rake:fork	powerful:meek	rake:fork	0	2	1	6	2	['a']	l	2	0	0	1
73.9836	2.0127	work:earn::stairs:ladder	work:earn	None	None	3	None	9	None	0	0	0	1	0	0
77.2426	2.0057	work:earn::stairs:ladder	None	stairs:ladder	0	None	1	None	2	0	0	0	0	1	0
80.1393	0.6883	work:earn::stairs:ladder	work:earn	stairs:ladder	0	3	1	9	2	['a']	a	1	0	0	1
81.8503	2.0114	warm:cool::hot:cold	warm:cool	None	None	2	None	4	None	0	0	0	1	0	0
84.5485	2.0146	warm:cool::hot:cold	None	hot:cold	1	None	2	None	4	0	0	0	0	1	0
87.7661	0.8932	warm:cool::hot:cold	warm:cool	hot:cold	1	2	2	4	4	['a']	a	2	0	0	1
89.6738	2.0120	rise:tide::dirty:clean	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0
92.3852	2.0042	rise:tide::dirty:clean	None	dirty:clean	0	None	2	None	4	0	0	0	0	1	0
95.5663	0.4925	rise:tide::dirty:clean	rise:tide	dirty:clean	0	1	2	3	4	['a']	a	1	0	0	1
97.0758	2.0129	black:white::terror:fear	black:white	None	None	2	None	4	None	0	0	0	1	0	0
99.7095	2.0136	black:white::terror:fear	None	terror:fear	0	None	1	None	3	0	0	0	0	1	0
102.6662	0.8734	black:white::terror:fear	black:white	terror:fear	0	2	1	4	3	['l']	l	2	0	0	1
104.5623	2.0126	rise:sink::shovel:spoon	rise:sink	None	None	2	None	5	None	0	0	0	1	0	0
107.1044	2.0108	rise:sink::shovel:spoon	None	shovel:spoon	0	None	1	None	2	0	0	0	0	1	0
110.0946	4.0130	rise:sink::shovel:spoon	rise:sink	shovel:spoon	0	2	1	5	2	None	l	2	0	0	1
