TrialTag	ABTag	CDTag	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeCorr	ProbeArr	AB	CD	Probe
disease:sickness::flood:water	disease:sickness	None	3	None	7	None	0	0	1	0	0
disease:sickness::flood:water	None	flood:water	None	1	None	3	0	0	0	1	0
disease:sickness::flood:water	disease:sickness	flood:water	3	1	7	3	l	1	0	0	1
enthusiastic:lazy::witty:dumb	enthusiastic:lazy	None	2	None	6	None	0	0	1	0	0
enthusiastic:lazy::witty:dumb	None	witty:dumb	None	2	None	6	0	0	0	1	0
enthusiastic:lazy::witty:dumb	enthusiastic:lazy	witty:dumb	2	2	6	6	a	1	0	0	1
trim:shorten::study:learn	trim:shorten	None	3	None	9	None	0	0	1	0	0
trim:shorten::study:learn	None	study:learn	None	3	None	9	0	0	0	1	0
trim:shorten::study:learn	trim:shorten	study:learn	3	3	9	9	a	1	0	0	1
warm:cool::hot:cold	warm:cool	None	2	None	4	None	0	0	1	0	0
warm:cool::hot:cold	None	hot:cold	None	2	None	4	0	0	0	1	0
warm:cool::hot:cold	warm:cool	hot:cold	2	2	4	4	l	2	0	0	1
dirtiness:bathe::front:back	dirtiness:bathe	None	3	None	8	None	0	0	1	0	0
dirtiness:bathe::front:back	None	front:back	None	2	None	5	0	0	0	1	0
dirtiness:bathe::front:back	dirtiness:bathe	front:back	3	2	8	5	l	1	0	0	1
drink:hydrate::house:home	drink:hydrate	None	3	None	9	None	0	0	1	0	0
drink:hydrate::house:home	None	house:home	None	1	None	1	0	0	0	1	0
drink:hydrate::house:home	drink:hydrate	house:home	3	1	9	1	a	2	0	0	1
hill:mountain::danger:flee	hill:mountain	None	1	None	2	None	0	0	1	0	0
hill:mountain::danger:flee	None	danger:flee	None	3	None	8	0	0	0	1	0
hill:mountain::danger:flee	hill:mountain	danger:flee	1	3	2	8	l	1	0	0	1
rise:tide::dirty:clean	rise:tide	None	1	None	3	None	0	0	1	0	0
rise:tide::dirty:clean	None	dirty:clean	None	2	None	4	0	0	0	1	0
rise:tide::dirty:clean	rise:tide	dirty:clean	1	2	3	4	l	1	0	0	1
sword:knife::accident:damage	sword:knife	None	1	None	2	None	0	0	1	0	0
sword:knife::accident:damage	None	accident:damage	None	3	None	7	0	0	0	1	0
sword:knife::accident:damage	sword:knife	accident:damage	1	3	2	7	a	2	0	0	1
nervousness:sweat::coldness:shiver	nervousness:sweat	None	3	None	8	None	0	0	1	0	0
nervousness:sweat::coldness:shiver	None	coldness:shiver	None	3	None	8	0	0	0	1	0
nervousness:sweat::coldness:shiver	nervousness:sweat	coldness:shiver	3	3	8	8	a	1	0	0	1
work:earn::stairs:ladder	work:earn	None	3	None	9	None	0	0	1	0	0
work:earn::stairs:ladder	None	stairs:ladder	None	1	None	2	0	0	0	1	0
work:earn::stairs:ladder	work:earn	stairs:ladder	3	1	9	2	a	2	0	0	1
run:sprint::under:over	run:sprint	None	1	None	1	None	0	0	1	0	0
run:sprint::under:over	None	under:over	None	2	None	5	0	0	0	1	0
run:sprint::under:over	run:sprint	under:over	1	2	1	5	a	2	0	0	1
east:west::car:auto	east:west	None	2	None	5	None	0	0	1	0	0
east:west::car:auto	None	car:auto	None	1	None	1	0	0	0	1	0
east:west::car:auto	east:west	car:auto	2	1	5	1	l	1	0	0	1
pretty:beautiful::teach:instruct	pretty:beautiful	None	1	None	1	None	0	0	1	0	0
pretty:beautiful::teach:instruct	None	teach:instruct	None	1	None	1	0	0	0	1	0
pretty:beautiful::teach:instruct	pretty:beautiful	teach:instruct	1	1	1	1	l	2	0	0	1
powerful:meek::rake:fork	powerful:meek	None	2	None	6	None	0	0	1	0	0
powerful:meek::rake:fork	None	rake:fork	None	1	None	2	0	0	0	1	0
powerful:meek::rake:fork	powerful:meek	rake:fork	2	1	6	2	l	1	0	0	1
accept:reject::lower:volume	accept:reject	None	2	None	4	None	0	0	1	0	0
accept:reject::lower:volume	None	lower:volume	None	1	None	3	0	0	0	1	0
accept:reject::lower:volume	accept:reject	lower:volume	2	1	4	3	l	1	0	0	1
good:bad::tall:short	good:bad	None	2	None	4	None	0	0	1	0	0
good:bad::tall:short	None	tall:short	None	2	None	4	0	0	0	1	0
good:bad::tall:short	good:bad	tall:short	2	2	4	4	a	1	0	0	1
discount:price::heat:temperature	discount:price	None	1	None	3	None	0	0	1	0	0
discount:price::heat:temperature	None	heat:temperature	None	1	None	3	0	0	0	1	0
discount:price::heat:temperature	discount:price	heat:temperature	1	1	3	3	a	1	0	0	1
boat:ship::big:large	boat:ship	None	1	None	1	None	0	0	1	0	0
boat:ship::big:large	None	big:large	None	1	None	1	0	0	0	1	0
boat:ship::big:large	boat:ship	big:large	1	1	1	1	a	1	0	0	1
pencil:pen::fence:hedge	pencil:pen	None	1	None	2	None	0	0	1	0	0
pencil:pen::fence:hedge	None	fence:hedge	None	1	None	2	0	0	0	1	0
pencil:pen::fence:hedge	pencil:pen	fence:hedge	1	1	2	2	a	1	0	0	1
loss:grief::fire:burns	loss:grief	None	3	None	7	None	0	0	1	0	0
loss:grief::fire:burns	None	fire:burns	None	3	None	7	0	0	0	1	0
loss:grief::fire:burns	loss:grief	fire:burns	3	3	7	7	l	2	0	0	1
wash:clean::cook:eat	wash:clean	None	3	None	9	None	0	0	1	0	0
wash:clean::cook:eat	None	cook:eat	None	3	None	9	0	0	0	1	0
wash:clean::cook:eat	wash:clean	cook:eat	3	3	9	9	l	2	0	0	1
stimulus:response::workout:sweat	stimulus:response	None	3	None	7	None	0	0	1	0	0
stimulus:response::workout:sweat	None	workout:sweat	None	3	None	7	0	0	0	1	0
stimulus:response::workout:sweat	stimulus:response	workout:sweat	3	3	7	7	l	2	0	0	1
in:out::left:right	in:out	None	2	None	5	None	0	0	1	0	0
in:out::left:right	None	left:right	None	2	None	5	0	0	0	1	0
in:out::left:right	in:out	left:right	2	2	5	5	l	2	0	0	1
low:up::funny:serious	low:up	None	2	None	6	None	0	0	1	0	0
low:up::funny:serious	None	funny:serious	None	2	None	6	0	0	0	1	0
low:up::funny:serious	low:up	funny:serious	2	2	6	6	a	1	0	0	1
cute:adorable::burnish:shine	cute:adorable	None	1	None	1	None	0	0	1	0	0
cute:adorable::burnish:shine	None	burnish:shine	None	3	None	9	0	0	0	1	0
cute:adorable::burnish:shine	cute:adorable	burnish:shine	1	3	1	9	l	1	0	0	1
heater:warmth::climb:descend	heater:warmth	None	3	None	7	None	0	0	1	0	0
heater:warmth::climb:descend	None	climb:descend	None	2	None	5	0	0	0	1	0
heater:warmth::climb:descend	heater:warmth	climb:descend	3	2	7	5	a	2	0	0	1
rise:sink::shovel:spoon	rise:sink	None	2	None	5	None	0	0	1	0	0
rise:sink::shovel:spoon	None	shovel:spoon	None	1	None	2	0	0	0	1	0
rise:sink::shovel:spoon	rise:sink	shovel:spoon	2	1	5	2	a	2	0	0	1
dim:light::joke:laughter	dim:light	None	1	None	3	None	0	0	1	0	0
dim:light::joke:laughter	None	joke:laughter	None	3	None	7	0	0	0	1	0
dim:light::joke:laughter	dim:light	joke:laughter	1	3	3	7	a	2	0	0	1
paper:parchment::chair:sofa	paper:parchment	None	1	None	2	None	0	0	1	0	0
paper:parchment::chair:sofa	None	chair:sofa	None	1	None	2	0	0	0	1	0
paper:parchment::chair:sofa	paper:parchment	chair:sofa	1	1	2	2	a	1	0	0	1
day:evening::speak:express	day:evening	None	2	None	6	None	0	0	1	0	0
day:evening::speak:express	None	speak:express	None	3	None	9	0	0	0	1	0
day:evening::speak:express	day:evening	speak:express	2	3	6	9	l	1	0	0	1
thirsty:drink::anger:yell	thirsty:drink	None	3	None	8	None	0	0	1	0	0
thirsty:drink::anger:yell	None	anger:yell	None	3	None	8	0	0	0	1	0
thirsty:drink::anger:yell	thirsty:drink	anger:yell	3	3	8	8	l	2	0	0	1
black:white::terror:fear	black:white	None	2	None	4	None	0	0	1	0	0
black:white::terror:fear	None	terror:fear	None	1	None	3	0	0	0	1	0
black:white::terror:fear	black:white	terror:fear	2	1	4	3	a	2	0	0	1
tiredness:rest::dark:light	tiredness:rest	None	3	None	8	None	0	0	1	0	0
tiredness:rest::dark:light	None	dark:light	None	2	None	4	0	0	0	1	0
tiredness:rest::dark:light	tiredness:rest	dark:light	3	2	8	4	a	2	0	0	1
darken:color::soften:voice	darken:color	None	1	None	3	None	0	0	1	0	0
darken:color::soften:voice	None	soften:voice	None	1	None	3	0	0	0	1	0
darken:color::soften:voice	darken:color	soften:voice	1	1	3	3	l	2	0	0	1
up:down::high:low	up:down	None	2	None	5	None	0	0	1	0	0
up:down::high:low	None	high:low	None	2	None	5	0	0	0	1	0
up:down::high:low	up:down	high:low	2	2	5	5	l	2	0	0	1
house:tent::book:magazine	house:tent	None	1	None	2	None	0	0	1	0	0
house:tent::book:magazine	None	book:magazine	None	1	None	2	0	0	0	1	0
house:tent::book:magazine	house:tent	book:magazine	1	1	2	2	a	1	0	0	1
fat:thin::dirty:bathe	fat:thin	None	2	None	4	None	0	0	1	0	0
fat:thin::dirty:bathe	None	dirty:bathe	None	3	None	8	0	0	0	1	0
fat:thin::dirty:bathe	fat:thin	dirty:bathe	2	3	4	8	l	1	0	0	1
top:bottom::pants:trousers	top:bottom	None	2	None	5	None	0	0	1	0	0
top:bottom::pants:trousers	None	pants:trousers	None	1	None	1	0	0	0	1	0
top:bottom::pants:trousers	top:bottom	pants:trousers	2	1	5	1	a	2	0	0	1
sickness:medicate::raise:elevate	sickness:medicate	None	3	None	8	None	0	0	1	0	0
sickness:medicate::raise:elevate	None	raise:elevate	None	1	None	1	0	0	0	1	0
sickness:medicate::raise:elevate	sickness:medicate	raise:elevate	3	1	8	1	a	2	0	0	1
fast:slow::heat:sweat	fast:slow	None	2	None	4	None	0	0	1	0	0
fast:slow::heat:sweat	None	heat:sweat	None	3	None	8	0	0	0	1	0
fast:slow::heat:sweat	fast:slow	heat:sweat	2	3	4	8	l	1	0	0	1
ahead:behind::bath:cleanliness	ahead:behind	None	2	None	5	None	0	0	1	0	0
ahead:behind::bath:cleanliness	None	bath:cleanliness	None	3	None	7	0	0	0	1	0
ahead:behind::bath:cleanliness	ahead:behind	bath:cleanliness	2	3	5	7	l	1	0	0	1
smiling:sad::high:down	smiling:sad	None	2	None	6	None	0	0	1	0	0
smiling:sad::high:down	None	high:down	None	2	None	6	0	0	0	1	0
smiling:sad::high:down	smiling:sad	high:down	2	2	6	6	l	2	0	0	1
old:young::rich:poor	old:young	None	2	None	4	None	0	0	1	0	0
old:young::rich:poor	None	rich:poor	None	2	None	4	0	0	0	1	0
old:young::rich:poor	old:young	rich:poor	2	2	4	4	l	2	0	0	1
pillow:cushion::pretty:ugly	pillow:cushion	None	1	None	2	None	0	0	1	0	0
pillow:cushion::pretty:ugly	None	pretty:ugly	None	2	None	4	0	0	0	1	0
pillow:cushion::pretty:ugly	pillow:cushion	pretty:ugly	1	2	2	4	l	1	0	0	1
spin:twirl::bright:dull	spin:twirl	None	1	None	1	None	0	0	1	0	0
spin:twirl::bright:dull	None	bright:dull	None	2	None	6	0	0	0	1	0
spin:twirl::bright:dull	spin:twirl	bright:dull	1	2	1	6	l	1	0	0	1
wagon:trailer::picture:drawing	wagon:trailer	None	1	None	2	None	0	0	1	0	0
wagon:trailer::picture:drawing	None	picture:drawing	None	1	None	2	0	0	0	1	0
wagon:trailer::picture:drawing	wagon:trailer	picture:drawing	1	1	2	2	l	2	0	0	1
force:pressure::acceleration:speed	force:pressure	None	1	None	3	None	0	0	1	0	0
force:pressure::acceleration:speed	None	acceleration:speed	None	1	None	3	0	0	0	1	0
force:pressure::acceleration:speed	force:pressure	acceleration:speed	1	1	3	3	a	1	0	0	1
just:unfair::injury:pain	just:unfair	None	2	None	6	None	0	0	1	0	0
just:unfair::injury:pain	None	injury:pain	None	3	None	7	0	0	0	1	0
just:unfair::injury:pain	just:unfair	injury:pain	2	3	6	7	l	1	0	0	1
option:choice::careful:cautious	option:choice	None	1	None	1	None	0	0	1	0	0
option:choice::careful:cautious	None	careful:cautious	None	1	None	1	0	0	0	1	0
option:choice::careful:cautious	option:choice	careful:cautious	1	1	1	1	l	2	0	0	1
inflation:price::hunger:eat	inflation:price	None	1	None	3	None	0	0	1	0	0
inflation:price::hunger:eat	None	hunger:eat	None	3	None	8	0	0	0	1	0
inflation:price::hunger:eat	inflation:price	hunger:eat	1	3	3	8	a	2	0	0	1
germs:sickness::illness:discomfort	germs:sickness	None	3	None	7	None	0	0	1	0	0
germs:sickness::illness:discomfort	None	illness:discomfort	None	3	None	7	0	0	0	1	0
germs:sickness::illness:discomfort	germs:sickness	illness:discomfort	3	3	7	7	l	2	0	0	1
flee:escape::read:learn	flee:escape	None	3	None	9	None	0	0	1	0	0
flee:escape::read:learn	None	read:learn	None	3	None	9	0	0	0	1	0
flee:escape::read:learn	flee:escape	read:learn	3	3	9	9	l	2	0	0	1
sleep:rest::bright:dark	sleep:rest	None	3	None	9	None	0	0	1	0	0
sleep:rest::bright:dark	None	bright:dark	None	2	None	4	0	0	0	1	0
sleep:rest::bright:dark	sleep:rest	bright:dark	3	2	9	4	l	1	0	0	1
explosion:damage::fun:boring	explosion:damage	None	3	None	7	None	0	0	1	0	0
explosion:damage::fun:boring	None	fun:boring	None	2	None	6	0	0	0	1	0
explosion:damage::fun:boring	explosion:damage	fun:boring	3	2	7	6	l	1	0	0	1
ignite:burn::speed:movement	ignite:burn	None	3	None	9	None	0	0	1	0	0
ignite:burn::speed:movement	None	speed:movement	None	1	None	3	0	0	0	1	0
ignite:burn::speed:movement	ignite:burn	speed:movement	3	1	9	3	a	2	0	0	1
loud:discreet::majority:small	loud:discreet	None	2	None	6	None	0	0	1	0	0
loud:discreet::majority:small	None	majority:small	None	2	None	6	0	0	0	1	0
loud:discreet::majority:small	loud:discreet	majority:small	2	2	6	6	l	2	0	0	1
sadness:cry::table:desk	sadness:cry	None	3	None	8	None	0	0	1	0	0
