Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0378	2.0130	east:west::car:auto	east:west	None	None	2	None	5	None	0	0	0	1	0	0
5.6904	2.0188	east:west::car:auto	None	car:auto	0	None	1	None	1	0	0	0	0	1	0
8.3620	4.0225	east:west::car:auto	east:west	car:auto	0	2	1	5	1	None	l	1	0	0	1
13.4245	2.0169	up:down::high:low	up:down	None	None	2	None	5	None	0	0	0	1	0	0
16.2064	2.0319	up:down::high:low	None	high:low	1	None	2	None	5	0	0	0	0	1	0
18.8464	1.4417	up:down::high:low	up:down	high:low	1	2	2	5	5	['a']	a	1	0	0	1
21.3326	2.0151	pretty:beautiful::teach:instruct	pretty:beautiful	None	None	1	None	1	None	0	0	0	1	0	0
24.0050	2.0146	pretty:beautiful::teach:instruct	None	teach:instruct	1	None	1	None	1	0	0	0	0	1	0
27.1267	0.9534	pretty:beautiful::teach:instruct	pretty:beautiful	teach:instruct	1	1	1	1	1	['l']	a	1	0	0	1
29.1333	2.0271	loss:grief::fire:burns	loss:grief	None	None	3	None	7	None	0	0	0	1	0	0
32.3939	2.0319	loss:grief::fire:burns	None	fire:burns	1	None	3	None	7	0	0	0	0	1	0
35.9393	0.5409	loss:grief::fire:burns	loss:grief	fire:burns	1	3	3	7	7	['a']	a	1	0	0	1
37.5221	2.0287	hill:mountain::danger:flee	hill:mountain	None	None	1	None	2	None	0	0	0	1	0	0
40.4720	2.0319	hill:mountain::danger:flee	None	danger:flee	0	None	3	None	8	0	0	0	0	1	0
44.2524	0.3962	hill:mountain::danger:flee	hill:mountain	danger:flee	0	1	3	2	8	['l']	l	1	0	0	1
45.6771	2.0324	warm:cool::hot:cold	warm:cool	None	None	2	None	4	None	0	0	0	1	0	0
48.3309	2.0324	warm:cool::hot:cold	None	hot:cold	1	None	2	None	4	0	0	0	0	1	0
51.2838	0.7163	warm:cool::hot:cold	warm:cool	hot:cold	1	2	2	4	4	['l']	l	2	0	0	1
53.0365	2.0300	disease:sickness::flood:water	disease:sickness	None	None	3	None	7	None	0	0	0	1	0	0
55.6758	2.0340	disease:sickness::flood:water	None	flood:water	0	None	1	None	3	0	0	0	0	1	0
58.5025	2.0096	disease:sickness::flood:water	disease:sickness	flood:water	0	3	1	7	3	['a']	a	2	0	0	1
61.5513	2.0152	tiredness:rest::dark:light	tiredness:rest	None	None	3	None	8	None	0	0	0	1	0	0
64.1442	2.0163	tiredness:rest::dark:light	None	dark:light	0	None	2	None	4	0	0	0	0	1	0
66.9724	1.4357	tiredness:rest::dark:light	tiredness:rest	dark:light	0	3	2	8	4	['l']	a	2	0	0	1
69.4437	2.0291	accept:reject::lower:volume	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0
72.4907	2.0133	accept:reject::lower:volume	None	lower:volume	0	None	1	None	3	0	0	0	0	1	0
75.0658	1.3502	accept:reject::lower:volume	accept:reject	lower:volume	0	2	1	4	3	['a']	a	2	0	0	1
77.4743	2.0141	stimulus:response::workout:sweat	stimulus:response	None	None	3	None	7	None	0	0	0	1	0	0
80.2693	2.0160	stimulus:response::workout:sweat	None	workout:sweat	1	None	3	None	7	0	0	0	0	1	0
83.0176	4.0240	stimulus:response::workout:sweat	stimulus:response	workout:sweat	1	3	3	7	7	None	a	1	0	0	1
88.0663	2.0159	wash:clean::cook:eat	wash:clean	None	None	3	None	9	None	0	0	0	1	0	0
90.6594	2.0321	wash:clean::cook:eat	None	cook:eat	1	None	3	None	9	0	0	0	0	1	0
93.5653	0.8428	wash:clean::cook:eat	wash:clean	cook:eat	1	3	3	9	9	['l']	l	2	0	0	1
95.4570	2.0158	sword:knife::accident:damage	sword:knife	None	None	1	None	2	None	0	0	0	1	0	0
98.6933	2.0295	sword:knife::accident:damage	None	accident:damage	0	None	3	None	7	0	0	0	0	1	0
101.3466	0.7975	sword:knife::accident:damage	sword:knife	accident:damage	0	1	3	2	7	['l']	a	2	0	0	1
103.1761	2.0155	dim:light::joke:laughter	dim:light	None	None	1	None	3	None	0	0	0	1	0	0
106.0042	2.0156	dim:light::joke:laughter	None	joke:laughter	0	None	3	None	7	0	0	0	0	1	0
109.3002	0.9080	dim:light::joke:laughter	dim:light	joke:laughter	0	1	3	3	7	['a']	a	2	0	0	1
111.2376	2.0164	good:bad::tall:short	good:bad	None	None	2	None	4	None	0	0	0	1	0	0
114.6605	2.0311	good:bad::tall:short	None	tall:short	1	None	2	None	4	0	0	0	0	1	0
117.6134	2.2347	good:bad::tall:short	good:bad	tall:short	1	2	2	4	4	['l']	l	2	0	0	1
120.8786	2.0161	thirsty:drink::anger:yell	thirsty:drink	None	None	3	None	8	None	0	0	0	1	0	0
123.5218	2.0291	thirsty:drink::anger:yell	None	anger:yell	1	None	3	None	8	0	0	0	0	1	0
126.6114	1.5007	thirsty:drink::anger:yell	thirsty:drink	anger:yell	1	3	3	8	8	['a']	a	1	0	0	1
129.1449	2.0311	cute:adorable::burnish:shine	cute:adorable	None	None	1	None	1	None	0	0	0	1	0	0
131.9099	2.0161	cute:adorable::burnish:shine	None	burnish:shine	0	None	3	None	9	0	0	0	0	1	0
135.7063	0.6698	cute:adorable::burnish:shine	cute:adorable	burnish:shine	0	1	3	1	9	['a']	a	2	0	0	1
137.4124	2.0136	paper:parchment::chair:sofa	paper:parchment	None	None	1	None	2	None	0	0	0	1	0	0
140.1287	2.0319	paper:parchment::chair:sofa	None	chair:sofa	1	None	1	None	2	0	0	0	0	1	0
142.8459	2.0662	paper:parchment::chair:sofa	paper:parchment	chair:sofa	1	1	1	2	2	['a']	a	1	0	0	1
145.9567	2.0164	rise:tide::dirty:clean	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0
148.6606	2.0311	rise:tide::dirty:clean	None	dirty:clean	0	None	2	None	4	0	0	0	0	1	0
153.5030	1.6012	rise:tide::dirty:clean	rise:tide	dirty:clean	0	1	2	3	4	['a']	a	2	0	0	1
