ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.1138,2.0999,6.1735,2.1068,10.0576,2.2858,interior:exterior::below:above,1,['l'],l
13.4221,2.0765,16.6358,2.0661,19.7157,1.7207,wagon:trailer::picture:drawing,1,['a'],a
22.5196,2.0991,25.2900,2.0684,28.0626,1.2021,old:young::rich:poor,1,['a'],a
30.3908,2.1510,33.7646,2.0603,36.8691,2.1070,explosion:damage::fun:boring,0,['a'],a
40.0996,2.0691,44.5983,2.0572,47.9036,4.0800,make:manufacture::obey:protest,0,None,a
53.0928,2.0698,57.0859,2.1108,60.2319,2.4712,ahead:behind::bath:cleanliness,0,['a'],a
63.7919,2.2538,67.9660,2.0452,70.6677,4.0285,top:bottom::pants:trousers,0,['l'],l
75.7595,2.0255,78.6451,2.0724,81.5355,4.0453,spin:twirl::bright:dull,0,None,l
86.6832,2.0625,89.5554,2.0194,92.9860,1.0055,house:tent::book:magazine,1,['l'],l
95.0605,2.0578,98.0925,2.0760,100.8696,2.5658,death:population::start:finish,0,['l'],l
104.5160,2.0921,107.9796,2.0162,112.3561,2.9633,smiling:sad::high:down,1,['a'],a
116.3549,2.1026,119.3039,2.0388,122.3099,3.9108,fat:thin::dirty:bathe,0,['a'],a
127.2712,2.0215,129.9373,2.0587,132.6915,1.2112,just:unfair::injury:pain,0,['a'],a
134.9709,2.0794,137.7345,2.0582,141.5340,0.5696,sickness:medicate::raise:elevate,0,['a'],a
143.1871,2.0149,145.8289,2.0607,148.7759,1.9036,right:bad::advertise:promote,0,['a'],a
151.7152,2.0152,155.0302,2.1062,157.8858,2.6977,germs:sickness::illness:discomfort,1,['l'],l
161.6360,2.0348,164.3558,2.0182,167.4312,2.7202,ignite:burn::speed:movement,0,['a'],l
171.2000,2.0146,174.0580,2.0159,177.2023,3.0292,inflation:price::hunger:eat,0,['l'],l
181.2640,2.0131,184.0114,2.0157,186.8376,1.3379,repetition:boredom::good:wrong,0,['l'],l
189.2142,2.0161,193.0278,2.0152,196.2127,1.1389,thirst:drink::happiness:smile,1,['a'],a
198.3863,2.0161,200.9959,2.0158,203.5724,1.6431,pillow:cushion::pretty:ugly,0,['l'],l
206.2472,2.0306,209.5120,2.0164,212.5106,2.8810,fast:slow::heat:sweat,0,['a'],a
216.4533,2.0270,219.2012,2.0147,222.2047,2.6670,fright:scream::loneliness:socialize,1,['l'],l
225.9192,2.0149,229.0583,2.0317,231.6994,0.9962,forward:backward::north:south,1,['a'],a
233.7330,2.0303,237.2773,2.0155,240.7447,2.3508,sadness:cry::table:desk,0,['l'],a
244.1378,2.0309,246.8719,2.0148,249.5106,1.7771,raise:salary::shorten:distance,1,['l'],l
252.3250,2.0154,254.8877,2.0146,257.6673,0.7083,big:small::difficult:easy,1,['l'],l
259.4177,2.0159,262.2319,2.0142,267.0259,1.8457,flee:escape::read:learn,1,['a'],a
269.9177,2.0158,273.5577,2.0327,277.0888,1.4227,sleep:rest::bright:dark,0,['l'],l
279.5433,2.0309,282.1847,2.0301,285.4816,1.5260,loud:discreet::majority:small,1,['l'],a
288.0658,2.0242,290.6870,2.0279,293.4957,0.4560,ladder:stairs::bathe:clean,0,['l'],l
294.9802,2.0316,297.6866,2.0131,300.9173,1.0343,couch:sofa::kid:child,1,['a'],a
302.9982,2.0138,305.6070,2.0141,308.3076,1.0761,tragedy:tears::exercise:fitness,1,['l'],l
310.4199,2.0294,313.1050,2.0318,316.1195,1.0323,exercise:healthy::breathe:live,1,['a'],a
318.1844,2.0150,321.0298,2.0139,325.0904,0.9665,force:pressure::acceleration:speed,1,['l'],l
327.0911,2.0305,331.2949,2.0138,334.3703,0.6618,option:choice::careful:cautious,1,['l'],l
