Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0148	2.0115	raise:salary::shorten:distance	raise:salary	None	None	1	None	3	None	0	0	0	1	0	0
5.9516	2.0093	raise:salary::shorten:distance	None	shorten:distance	1	None	1	None	3	0	0	0	0	1	0
8.8007	0.6966	raise:salary::shorten:distance	raise:salary	shorten:distance	1	1	1	3	3	['l']	l	2	0	0	1
10.0152	2.0113	ignite:burn::speed:movement	ignite:burn	None	None	3	None	9	None	0	0	0	1	0	0
13.4023	2.0080	ignite:burn::speed:movement	None	speed:movement	0	None	1	None	3	0	0	0	0	1	0
16.1628	0.7977	ignite:burn::speed:movement	ignite:burn	speed:movement	0	3	1	9	3	['a']	a	2	0	0	1
17.4719	2.0050	accept:reject::lower:volume	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0
20.1261	2.0091	accept:reject::lower:volume	None	lower:volume	0	None	1	None	3	0	0	0	0	1	0
22.8169	0.8717	accept:reject::lower:volume	accept:reject	lower:volume	0	2	1	4	3	['l']	l	1	0	0	1
24.1989	2.0041	day:evening::speak:express	day:evening	None	None	2	None	6	None	0	0	0	1	0	0
27.2358	2.0077	day:evening::speak:express	None	speak:express	0	None	3	None	9	0	0	0	0	1	0
30.1797	0.9809	day:evening::speak:express	day:evening	speak:express	0	2	3	6	9	['a']	a	2	0	0	1
31.6790	2.0114	interior:exterior::below:above	interior:exterior	None	None	2	None	5	None	0	0	0	1	0	0
34.5168	2.0082	interior:exterior::below:above	None	below:above	1	None	2	None	5	0	0	0	0	1	0
37.0672	0.6856	interior:exterior::below:above	interior:exterior	below:above	1	2	2	5	5	['l']	l	2	0	0	1
38.2654	2.0106	boat:ship::big:large	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0
40.9848	2.0101	boat:ship::big:large	None	big:large	1	None	1	None	1	0	0	0	0	1	0
44.4873	0.6097	boat:ship::big:large	boat:ship	big:large	1	1	1	1	1	['a']	a	1	0	0	1
45.6175	2.0100	loss:grief::fire:burns	loss:grief	None	None	3	None	7	None	0	0	0	1	0	0
48.1525	2.0092	loss:grief::fire:burns	None	fire:burns	1	None	3	None	7	0	0	0	0	1	0
51.0991	0.9031	loss:grief::fire:burns	loss:grief	fire:burns	1	3	3	7	7	['a']	a	1	0	0	1
52.5163	2.0118	trim:shorten::study:learn	trim:shorten	None	None	3	None	9	None	0	0	0	1	0	0
55.8740	2.0034	trim:shorten::study:learn	None	study:learn	1	None	3	None	9	0	0	0	0	1	0
58.4621	0.6271	trim:shorten::study:learn	trim:shorten	study:learn	1	3	3	9	9	['a']	a	1	0	0	1
59.6001	2.0041	death:population::start:finish	death:population	None	None	1	None	3	None	0	0	0	1	0	0
63.9113	2.0111	death:population::start:finish	None	start:finish	0	None	2	None	5	0	0	0	0	1	0
66.5168	0.7567	death:population::start:finish	death:population	start:finish	0	1	2	3	5	['l']	l	1	0	0	1
67.7839	2.0077	dirtiness:bathe::front:back	dirtiness:bathe	None	None	3	None	8	None	0	0	0	1	0	0
70.3992	2.0101	dirtiness:bathe::front:back	None	front:back	0	None	2	None	5	0	0	0	0	1	0
73.3948	0.6389	dirtiness:bathe::front:back	dirtiness:bathe	front:back	0	3	2	8	5	['l']	l	1	0	0	1
74.5493	2.0121	darken:color::soften:voice	darken:color	None	None	1	None	3	None	0	0	0	1	0	0
77.1442	2.0174	darken:color::soften:voice	None	soften:voice	1	None	1	None	3	0	0	0	0	1	0
80.1119	1.2577	darken:color::soften:voice	darken:color	soften:voice	1	1	1	3	3	['a']	a	1	0	0	1
81.8842	2.0105	run:sprint::under:over	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0
84.4181	2.0105	run:sprint::under:over	None	under:over	0	None	2	None	5	0	0	0	0	1	0
86.9570	0.9729	run:sprint::under:over	run:sprint	under:over	0	1	2	1	5	['l']	a	2	0	0	1
88.4394	2.0056	good:bad::tall:short	good:bad	None	None	2	None	4	None	0	0	0	1	0	0
91.0474	2.0054	good:bad::tall:short	None	tall:short	1	None	2	None	4	0	0	0	0	1	0
93.7913	0.5949	good:bad::tall:short	good:bad	tall:short	1	2	2	4	4	['a']	a	1	0	0	1
94.8999	2.0054	dim:light::joke:laughter	dim:light	None	None	1	None	3	None	0	0	0	1	0	0
97.6168	2.0066	dim:light::joke:laughter	None	joke:laughter	0	None	3	None	7	0	0	0	0	1	0
100.2784	0.6679	dim:light::joke:laughter	dim:light	joke:laughter	0	1	3	3	7	['l']	l	1	0	0	1
101.4618	2.0131	loud:discreet::majority:small	loud:discreet	None	None	2	None	6	None	0	0	0	1	0	0
105.1405	2.0056	loud:discreet::majority:small	None	majority:small	1	None	2	None	6	0	0	0	0	1	0
108.5607	0.8578	loud:discreet::majority:small	loud:discreet	majority:small	1	2	2	6	6	['l']	l	2	0	0	1
109.9345	2.0115	wash:clean::cook:eat	wash:clean	None	None	3	None	9	None	0	0	0	1	0	0
114.0997	2.0125	wash:clean::cook:eat	None	cook:eat	1	None	3	None	9	0	0	0	0	1	0
116.7031	0.5473	wash:clean::cook:eat	wash:clean	cook:eat	1	3	3	9	9	['a']	a	1	0	0	1
117.7681	2.0108	thirsty:drink::anger:yell	thirsty:drink	None	None	3	None	8	None	0	0	0	1	0	0
120.5804	2.0043	thirsty:drink::anger:yell	None	anger:yell	1	None	3	None	8	0	0	0	0	1	0
123.3361	1.4909	thirsty:drink::anger:yell	thirsty:drink	anger:yell	1	3	3	8	8	['a']	l	2	0	0	1
125.3429	2.0105	pretty:beautiful::teach:instruct	pretty:beautiful	None	None	1	None	1	None	0	0	0	1	0	0
128.6953	2.0103	pretty:beautiful::teach:instruct	None	teach:instruct	1	None	1	None	1	0	0	0	0	1	0
131.6330	1.0502	pretty:beautiful::teach:instruct	pretty:beautiful	teach:instruct	1	1	1	1	1	['l']	l	2	0	0	1
133.1949	2.0125	low:up::funny:serious	low:up	None	None	2	None	6	None	0	0	0	1	0	0
136.4182	2.0076	low:up::funny:serious	None	funny:serious	1	None	2	None	6	0	0	0	0	1	0
139.0843	0.7589	low:up::funny:serious	low:up	funny:serious	1	2	2	6	6	['a']	l	2	0	0	1
140.3661	2.0110	disease:sickness::flood:water	disease:sickness	None	None	3	None	7	None	0	0	0	1	0	0
142.9848	2.0114	disease:sickness::flood:water	None	flood:water	0	None	1	None	3	0	0	0	0	1	0
146.0184	1.0573	disease:sickness::flood:water	disease:sickness	flood:water	0	3	1	7	3	['l']	a	2	0	0	1
