ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.0085,2.0119,5.7633,2.0071,8.5119,0.7634,force:pressure::acceleration:speed,1,['a'],a
10.2919,2.0119,15.4036,2.0177,18.0147,0.8441,tragedy:tears::exercise:fitness,1,['a'],a
19.8747,2.0129,22.7732,2.0139,25.7679,1.1322,house:tent::book:magazine,1,['l'],l
27.9080,2.0133,30.4765,2.0115,33.1331,0.6291,forward:backward::north:south,1,['a'],a
34.7756,2.0122,37.8667,2.0040,40.4754,1.1322,explosion:damage::fun:boring,0,['l'],l
42.6264,2.0122,46.2079,2.0134,48.9404,0.6506,repetition:boredom::good:wrong,0,['a'],a
50.6094,2.0125,54.1243,2.0146,56.7148,1.2917,sleep:rest::bright:dark,0,['a'],a
59.0266,2.0115,61.7130,2.0093,64.3389,0.5097,interior:exterior::below:above,1,['a'],a
65.8598,2.0126,68.7924,2.0134,71.7357,0.4943,sickness:medicate::raise:elevate,0,['a'],a
73.2434,2.0124,76.1033,2.0026,79.1048,0.5945,fright:scream::loneliness:socialize,1,['l'],a
80.7128,2.0095,83.9524,2.0038,86.5078,0.6828,wagon:trailer::picture:drawing,1,['l'],a
88.2101,2.0125,91.2713,2.0182,94.3096,0.5424,make:manufacture::obey:protest,0,['l'],l
95.8601,2.0135,98.6283,2.0116,101.5499,0.5063,thirst:drink::happiness:smile,1,['a'],a
103.0771,2.0129,105.6510,2.0052,108.7455,0.7160,big:small::difficult:easy,1,['l'],a
110.4780,2.0120,113.2406,2.0164,115.8961,2.8227,death:population::start:finish,0,['l'],a
119.7274,2.0133,122.2833,2.0078,124.9349,0.6894,raise:salary::shorten:distance,1,['a'],a
126.6446,2.0133,129.3999,2.0071,132.1341,0.6243,ahead:behind::bath:cleanliness,0,['l'],l
133.7787,2.0125,137.4020,2.0057,139.9818,1.9532,ignite:burn::speed:movement,0,['a'],a
142.9456,2.0119,145.5671,2.0072,149.7125,1.0969,germs:sickness::illness:discomfort,1,['l'],l
151.8280,2.0131,154.4279,2.0134,157.3452,0.5213,fat:thin::dirty:bathe,0,['a'],a
158.8797,2.0122,161.4127,2.0124,164.1526,0.8474,pillow:cushion::pretty:ugly,0,['l'],l
166.0130,2.0120,168.9780,2.0140,173.6913,0.6961,exercise:healthy::breathe:live,1,['l'],l
175.3963,2.0131,179.5306,2.0116,182.3455,3.9134,sadness:cry::table:desk,0,['l'],l
187.2808,2.0119,190.0793,2.0136,192.7997,1.0023,just:unfair::injury:pain,0,['a'],a
194.8134,2.0123,197.5840,2.0090,200.5898,0.8320,fast:slow::heat:sweat,0,['l'],l
202.4308,2.0127,205.2207,2.0057,209.2142,1.0846,loud:discreet::majority:small,1,['a'],l
211.3136,2.0127,214.5947,2.0153,217.1359,0.6633,option:choice::careful:cautious,1,['a'],a
218.8146,2.0125,221.7797,2.0141,224.5926,1.4139,ladder:stairs::bathe:clean,0,['a'],a
227.0149,2.0122,229.5743,2.0029,232.3121,2.6196,smiling:sad::high:down,1,['a'],l
235.9475,2.0129,238.7061,2.0044,241.2666,0.6264,couch:sofa::kid:child,1,['l'],l
242.9153,2.0127,245.6504,2.0112,249.1486,0.6619,old:young::rich:poor,1,['l'],l
250.8319,2.0123,253.3710,2.0070,256.0793,1.3946,spin:twirl::bright:dull,0,['a'],a
258.4824,2.0127,262.0740,2.0045,264.9530,0.6332,right:bad::advertise:promote,0,['a'],a
266.5992,2.0129,269.6947,2.0170,272.2670,0.7705,top:bottom::pants:trousers,0,['a'],a
274.0490,2.0127,276.6374,2.0086,279.5523,0.5525,flee:escape::read:learn,1,['a'],a
281.1164,2.0119,284.1855,2.0100,288.1103,0.9901,inflation:price::hunger:eat,0,['a'],l
