Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0121	2.0117	dim:light::joke:laughter	dim:light	None	None	1	None	3	None	0	0	0	1	0	0
6.8458	2.0054	dim:light::joke:laughter	None	joke:laughter	0	None	3	None	7	0	0	0	0	1	0
9.6960	0.8885	dim:light::joke:laughter	dim:light	joke:laughter	0	1	3	3	7	['a']	a	2	0	0	1
11.6100	2.0094	up:down::high:low	up:down	None	None	2	None	5	None	0	0	0	1	0	0
15.8486	2.0055	up:down::high:low	None	high:low	1	None	2	None	5	0	0	0	0	1	0
18.4471	1.6264	up:down::high:low	up:down	high:low	1	2	2	5	5	['l']	a	1	0	0	1
21.0903	2.0123	run:sprint::under:over	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0
23.7890	2.0044	run:sprint::under:over	None	under:over	0	None	2	None	5	0	0	0	0	1	0
26.6901	1.4564	run:sprint::under:over	run:sprint	under:over	0	1	2	1	5	['l']	l	1	0	0	1
29.1606	2.0141	good:bad::tall:short	good:bad	None	None	2	None	4	None	0	0	0	1	0	0
33.2091	2.0077	good:bad::tall:short	None	tall:short	1	None	2	None	4	0	0	0	0	1	0
35.9562	0.7727	good:bad::tall:short	good:bad	tall:short	1	2	2	4	4	['a']	l	2	0	0	1
37.7535	2.0114	dirtiness:bathe::front:back	dirtiness:bathe	None	None	3	None	8	None	0	0	0	1	0	0
40.2975	2.0186	dirtiness:bathe::front:back	None	front:back	0	None	2	None	5	0	0	0	0	1	0
43.1883	0.6769	dirtiness:bathe::front:back	dirtiness:bathe	front:back	0	3	2	8	5	['a']	a	2	0	0	1
44.8777	2.0117	work:earn::stairs:ladder	work:earn	None	None	3	None	9	None	0	0	0	1	0	0
47.6913	2.0129	work:earn::stairs:ladder	None	stairs:ladder	0	None	1	None	2	0	0	0	0	1	0
50.6199	0.7195	work:earn::stairs:ladder	work:earn	stairs:ladder	0	3	1	9	2	['l']	l	1	0	0	1
52.3609	2.0112	thirsty:drink::anger:yell	thirsty:drink	None	None	3	None	8	None	0	0	0	1	0	0
55.3044	2.0196	thirsty:drink::anger:yell	None	anger:yell	1	None	3	None	8	0	0	0	0	1	0
57.8453	1.1330	thirsty:drink::anger:yell	thirsty:drink	anger:yell	1	3	3	8	8	['l']	l	2	0	0	1
59.9935	2.0121	sword:knife::accident:damage	sword:knife	None	None	1	None	2	None	0	0	0	1	0	0
62.9477	2.0089	sword:knife::accident:damage	None	accident:damage	0	None	3	None	7	0	0	0	0	1	0
65.5326	0.9899	sword:knife::accident:damage	sword:knife	accident:damage	0	1	3	2	7	['l']	l	1	0	0	1
67.5480	2.0112	stimulus:response::workout:sweat	stimulus:response	None	None	3	None	7	None	0	0	0	1	0	0
70.6166	2.0105	stimulus:response::workout:sweat	None	workout:sweat	1	None	3	None	7	0	0	0	0	1	0
73.3895	1.3808	stimulus:response::workout:sweat	stimulus:response	workout:sweat	1	3	3	7	7	['l']	l	2	0	0	1
75.7843	2.0114	low:up::funny:serious	low:up	None	None	2	None	6	None	0	0	0	1	0	0
78.3444	2.0183	low:up::funny:serious	None	funny:serious	1	None	2	None	6	0	0	0	0	1	0
81.1650	0.6058	low:up::funny:serious	low:up	funny:serious	1	2	2	6	6	['a']	l	2	0	0	1
82.7965	2.0126	trim:shorten::study:learn	trim:shorten	None	None	3	None	9	None	0	0	0	1	0	0
86.4972	2.0130	trim:shorten::study:learn	None	study:learn	1	None	3	None	9	0	0	0	0	1	0
89.0419	0.8253	trim:shorten::study:learn	trim:shorten	study:learn	1	3	3	9	9	['a']	a	1	0	0	1
90.8882	2.0114	paper:parchment::chair:sofa	paper:parchment	None	None	1	None	2	None	0	0	0	1	0	0
93.6587	2.0081	paper:parchment::chair:sofa	None	chair:sofa	1	None	1	None	2	0	0	0	0	1	0
96.4474	0.8114	paper:parchment::chair:sofa	paper:parchment	chair:sofa	1	1	1	2	2	['a']	a	1	0	0	1
98.2702	2.0119	disease:sickness::flood:water	disease:sickness	None	None	3	None	7	None	0	0	0	1	0	0
100.8376	2.0125	disease:sickness::flood:water	None	flood:water	0	None	1	None	3	0	0	0	0	1	0
103.5747	1.3408	disease:sickness::flood:water	disease:sickness	flood:water	0	3	1	7	3	['l']	l	1	0	0	1
105.9300	2.0115	pretty:beautiful::teach:instruct	pretty:beautiful	None	None	1	None	1	None	0	0	0	1	0	0
109.3739	2.0167	pretty:beautiful::teach:instruct	None	teach:instruct	1	None	1	None	1	0	0	0	0	1	0
112.3548	0.4887	pretty:beautiful::teach:instruct	pretty:beautiful	teach:instruct	1	1	1	1	1	['a']	a	1	0	0	1
113.8608	2.0126	accept:reject::lower:volume	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0
118.7967	2.0102	accept:reject::lower:volume	None	lower:volume	0	None	1	None	3	0	0	0	0	1	0
121.9728	0.6949	accept:reject::lower:volume	accept:reject	lower:volume	0	2	1	4	3	['a']	a	2	0	0	1
123.6904	2.0125	darken:color::soften:voice	darken:color	None	None	1	None	3	None	0	0	0	1	0	0
126.6978	2.0066	darken:color::soften:voice	None	soften:voice	1	None	1	None	3	0	0	0	0	1	0
129.2642	1.3233	darken:color::soften:voice	darken:color	soften:voice	1	1	1	3	3	['l']	l	2	0	0	1
131.5979	2.0120	heater:warmth::climb:descend	heater:warmth	None	None	3	None	7	None	0	0	0	1	0	0
134.4983	2.0043	heater:warmth::climb:descend	None	climb:descend	0	None	2	None	5	0	0	0	0	1	0
138.1954	0.4967	heater:warmth::climb:descend	heater:warmth	climb:descend	0	3	2	7	5	['a']	a	2	0	0	1
139.7053	2.0110	east:west::car:auto	east:west	None	None	2	None	5	None	0	0	0	1	0	0
142.2410	2.0144	east:west::car:auto	None	car:auto	0	None	1	None	1	0	0	0	0	1	0
145.3296	0.9621	east:west::car:auto	east:west	car:auto	0	2	1	5	1	['l']	l	1	0	0	1
147.3130	2.0171	powerful:meek::rake:fork	powerful:meek	None	None	2	None	6	None	0	0	0	1	0	0
