ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.0121,2.0117,6.8458,2.0054,9.6960,0.8885,dim:light::joke:laughter,0,['a'],a
11.6100,2.0094,15.8486,2.0055,18.4471,1.6264,up:down::high:low,1,['l'],a
21.0903,2.0123,23.7890,2.0044,26.6901,1.4564,run:sprint::under:over,0,['l'],l
29.1606,2.0141,33.2091,2.0077,35.9562,0.7727,good:bad::tall:short,1,['a'],l
37.7535,2.0114,40.2975,2.0186,43.1883,0.6769,dirtiness:bathe::front:back,0,['a'],a
44.8777,2.0117,47.6913,2.0129,50.6199,0.7195,work:earn::stairs:ladder,0,['l'],l
52.3609,2.0112,55.3044,2.0196,57.8453,1.1330,thirsty:drink::anger:yell,1,['l'],l
59.9935,2.0121,62.9477,2.0089,65.5326,0.9899,sword:knife::accident:damage,0,['l'],l
67.5480,2.0112,70.6166,2.0105,73.3895,1.3808,stimulus:response::workout:sweat,1,['l'],l
75.7843,2.0114,78.3444,2.0183,81.1650,0.6058,low:up::funny:serious,1,['a'],l
82.7965,2.0126,86.4972,2.0130,89.0419,0.8253,trim:shorten::study:learn,1,['a'],a
90.8882,2.0114,93.6587,2.0081,96.4474,0.8114,paper:parchment::chair:sofa,1,['a'],a
98.2702,2.0119,100.8376,2.0125,103.5747,1.3408,disease:sickness::flood:water,0,['l'],l
105.9300,2.0115,109.3739,2.0167,112.3548,0.4887,pretty:beautiful::teach:instruct,1,['a'],a
113.8608,2.0126,118.7967,2.0102,121.9728,0.6949,accept:reject::lower:volume,0,['a'],a
123.6904,2.0125,126.6978,2.0066,129.2642,1.3233,darken:color::soften:voice,1,['l'],l
131.5979,2.0120,134.4983,2.0043,138.1954,0.4967,heater:warmth::climb:descend,0,['a'],a
139.7053,2.0110,142.2410,2.0144,145.3296,0.9621,east:west::car:auto,0,['l'],l
147.3130,2.0171,150.0814,2.0160,153.5577,0.8706,powerful:meek::rake:fork,0,['l'],l
155.4533,2.0115,158.0490,2.0131,161.3014,2.0711,pencil:pen::fence:hedge,1,['a'],l
164.3877,2.0124,167.2635,2.0082,169.8992,1.8095,drink:hydrate::house:home,0,['a'],l
172.7303,2.0099,175.2814,2.0103,177.9691,1.3954,rise:tide::dirty:clean,0,['a'],a
180.3768,2.0116,183.0436,2.0131,185.7047,0.6529,day:evening::speak:express,0,['l'],l
187.3805,2.0058,190.1713,2.0175,193.3586,1.3026,nervousness:sweat::coldness:shiver,1,['a'],a
195.6831,2.0116,198.6934,2.0176,202.4284,1.9935,hill:mountain::danger:flee,0,['a'],a
205.4321,2.0125,207.9971,2.0057,211.8367,1.0808,warm:cool::hot:cold,1,['a'],l
213.9370,2.0123,216.8604,2.0062,220.2827,0.6673,wash:clean::cook:eat,1,['a'],l
221.9727,2.0116,225.3007,2.0079,228.0764,2.0255,in:out::left:right,1,['l'],l
231.1125,2.0104,236.2776,2.0179,238.9245,4.0145,boat:ship::big:large,1,None,a
243.9563,2.0116,246.7609,2.0090,249.3820,2.5444,loss:grief::fire:burns,1,['l'],a
252.9413,2.0157,255.6731,2.0194,258.2366,2.3783,tiredness:rest::dark:light,0,['l'],l
261.6283,2.0122,264.8228,2.0186,267.4357,4.0197,black:white::terror:fear,0,None,a
272.4806,2.0119,276.4471,2.0149,279.0957,0.5760,rise:sink::shovel:spoon,0,['a'],a
280.6966,2.0096,283.6704,2.0146,286.5419,4.0115,discount:price::heat:temperature,1,None,l
291.5757,2.0104,294.3399,2.0130,297.4585,1.0855,cute:adorable::burnish:shine,0,['a'],l
299.5616,2.0096,302.1862,2.0185,305.1281,2.2401,enthusiastic:lazy::witty:dumb,1,['a'],a
