AB,CD,OverallRelationAB,SpecificRelationAB,OverallRelationCD,SpecificRelationCD,Match,TrialTag,Qarrange
pretty:beautiful,teach:instruct,1,1,1,1,1,pretty:beautiful::teach:instruct,1
boat:ship,big:large,1,1,1,1,1,boat:ship::big:large,1
couch:sofa,kid:child,1,1,1,1,1,couch:sofa::kid:child,1
option:choice,careful:cautious,1,1,1,1,1,option:choice::careful:cautious,1
run:sprint,under:over,1,1,2,5,0,run:sprint::under:over,1
cute:adorable,burnish:shine,1,1,3,9,0,cute:adorable::burnish:shine,1
make:manufacture,obey:protest,1,1,2,6,0,make:manufacture::obey:protest,1
spin:twirl,bright:dull,1,1,2,6,0,spin:twirl::bright:dull,1
pencil:pen,fence:hedge,1,2,1,2,1,pencil:pen::fence:hedge,1
paper:parchment,chair:sofa,1,2,1,2,1,paper:parchment::chair:sofa,1
wagon:trailer,picture:drawing,1,2,1,2,1,wagon:trailer::picture:drawing,1
house:tent,book:magazine,1,2,1,2,1,house:tent::book:magazine,1
sword:knife,accident:damage,1,2,3,7,0,sword:knife::accident:damage,1
hill:mountain,danger:flee,1,2,3,8,0,hill:mountain::danger:flee,1
pillow:cushion,pretty:ugly,1,2,2,4,0,pillow:cushion::pretty:ugly,1
ladder:stairs,bathe:clean,1,2,3,9,0,ladder:stairs::bathe:clean,1
discount:price,heat:temperature,1,3,1,3,1,discount:price::heat:temperature,1
darken:color,soften:voice,1,3,1,3,1,darken:color::soften:voice,1
raise:salary,shorten:distance,1,3,1,3,1,raise:salary::shorten:distance,1
force:pressure,acceleration:speed,1,3,1,3,1,force:pressure::acceleration:speed,1
dim:light,joke:laughter,1,3,3,7,0,dim:light::joke:laughter,1
rise:tide,dirty:clean,1,3,2,4,0,rise:tide::dirty:clean,1
death:population,start:finish,1,3,2,5,0,death:population::start:finish,1
inflation:price,hunger:eat,1,3,3,8,0,inflation:price::hunger:eat,1
warm:cool,hot:cold,2,4,2,4,1,warm:cool::hot:cold,1
good:bad,tall:short,2,4,2,4,1,good:bad::tall:short,1
big:small,difficult:easy,2,4,2,4,1,big:small::difficult:easy,1
old:young,rich:poor,2,4,2,4,1,old:young::rich:poor,1
black:white,terror:fear,2,4,1,3,0,black:white::terror:fear,1
accept:reject,lower:volume,2,4,1,3,0,accept:reject::lower:volume,1
fat:thin,dirty:bathe,2,4,3,8,0,fat:thin::dirty:bathe,1
fast:slow,heat:sweat,2,4,3,8,0,fast:slow::heat:sweat,1
in:out,left:right,2,5,2,5,1,in:out::left:right,1
up:down,high:low,2,5,2,5,1,up:down::high:low,1
interior:exterior,below:above,2,5,2,5,1,interior:exterior::below:above,1
forward:backward,north:south,2,5,2,5,1,forward:backward::north:south,1
rise:sink,shovel:spoon,2,5,1,2,0,rise:sink::shovel:spoon,2
east:west,car:auto,2,5,1,1,0,east:west::car:auto,2
ahead:behind,bath:cleanliness,2,5,3,7,0,ahead:behind::bath:cleanliness,2
top:bottom,pants:trousers,2,5,1,1,0,top:bottom::pants:trousers,2
low:up,funny:serious,2,6,2,6,1,low:up::funny:serious,2
enthusiastic:lazy,witty:dumb,2,6,2,6,1,enthusiastic:lazy::witty:dumb,2
loud:discreet,majority:small,2,6,2,6,1,loud:discreet::majority:small,2
smiling:sad,high:down,2,6,2,6,1,smiling:sad::high:down,2
day:evening,speak:express,2,6,3,9,0,day:evening::speak:express,2
powerful:meek,rake:fork,2,6,1,2,0,powerful:meek::rake:fork,2
just:unfair,injury:pain,2,6,3,7,0,just:unfair::injury:pain,2
right:bad,advertise:promote,2,6,3,9,0,right:bad::advertise:promote,2
stimulus:response,workout:sweat,3,7,3,7,1,stimulus:response::workout:sweat,2
loss:grief,fire:burns,3,7,3,7,1,loss:grief::fire:burns,2
germs:sickness,illness:discomfort,3,7,3,7,1,germs:sickness::illness:discomfort,2
tragedy:tears,exercise:fitness,3,7,3,7,1,tragedy:tears::exercise:fitness,2
disease:sickness,flood:water,3,7,1,3,0,disease:sickness::flood:water,2
heater:warmth,climb:descend,3,7,2,5,0,heater:warmth::climb:descend,2
explosion:damage,fun:boring,3,7,2,6,0,explosion:damage::fun:boring,2
repetition:boredom,good:wrong,3,7,2,6,0,repetition:boredom::good:wrong,2
nervousness:sweat,coldness:shiver,3,8,3,8,1,nervousness:sweat::coldness:shiver,2
thirsty:drink,anger:yell,3,8,3,8,1,thirsty:drink::anger:yell,2
fright:scream,loneliness:socialize,3,8,3,8,1,fright:scream::loneliness:socialize,2
thirst:drink,happiness:smile,3,8,3,8,1,thirst:drink::happiness:smile,2
dirtiness:bathe,front:back,3,8,2,5,0,dirtiness:bathe::front:back,2
tiredness:rest,dark:light,3,8,2,4,0,tiredness:rest::dark:light,2
sickness:medicate,raise:elevate,3,8,1,1,0,sickness:medicate::raise:elevate,2
sadness:cry,table:desk,3,8,1,2,0,sadness:cry::table:desk,2
trim:shorten,study:learn,3,9,3,9,1,trim:shorten::study:learn,2
wash:clean,cook:eat,3,9,3,9,1,wash:clean::cook:eat,2
exercise:healthy,breathe:live,3,9,3,9,1,exercise:healthy::breathe:live,2
flee:escape,read:learn,3,9,3,9,1,flee:escape::read:learn,2
work:earn,stairs:ladder,3,9,1,2,0,work:earn::stairs:ladder,2
drink:hydrate,house:home,3,9,1,1,0,drink:hydrate::house:home,2
sleep:rest,bright:dark,3,9,2,4,0,sleep:rest::bright:dark,2
ignite:burn,speed:movement,3,9,1,3,0,ignite:burn::speed:movement,2
