AB,CD,OverallRelationAB,SpecificRelationAB,OverallRelationCD,SpecificRelationCD,Match,TrialTag,Qarrange
boat:ship,pants:trousers,1,1,1,1,1,boat:ship::pants:trousers,1
spin:twirl,house:home,1,1,1,1,1,spin:twirl::house:home,1
run:sprint,study:learn,1,1,3,9,0,run:sprint::study:learn,1
option:choice,high:down,1,1,2,6,0,option:choice::high:down,1
pillow:cushion,rake:fork,1,2,1,2,1,pillow:cushion::rake:fork,1
ladder:stairs,table:desk,1,2,1,2,1,ladder:stairs::table:desk,1
hill:mountain,anger:yell,1,2,3,8,0,hill:mountain::anger:yell,1
pencil:pen,north:south,1,2,2,5,0,pencil:pen::north:south,1
force:pressure,speed:movement,1,3,1,3,1,force:pressure::speed:movement,1
death:population,flood:water,1,3,1,3,1,death:population::flood:water,1
rise:tide,left:right,1,3,2,5,0,rise:tide::left:right,1
dim:light,coldness:shiver,1,3,3,8,0,dim:light::coldness:shiver,1
fast:slow,bright:dark,2,4,2,4,1,fast:slow::bright:dark,1
black:white,pretty:ugly,2,4,2,4,1,black:white::pretty:ugly,1
warm:cool,read:learn,2,4,3,9,0,warm:cool::read:learn,1
accept:reject,chair:sofa,2,4,1,2,0,accept:reject::chair:sofa,1
east:west,front:back,2,5,2,5,1,east:west::front:back,1
rise:sink,under:over,2,5,2,5,1,rise:sink::under:over,1
in:out,loneliness:socialize,2,5,3,8,0,in:out::loneliness:socialize,2
up:down,fire:burns,2,5,3,7,0,up:down::fire:burns,2
low:up,good:wrong,2,6,2,6,1,low:up::good:wrong,2
right:bad,obey:protest,2,6,2,6,1,right:bad::obey:protest,2
loud:discreet,picture:drawing,2,6,1,2,0,loud:discreet::picture:drawing,2
day:evening,happiness:smile,2,6,3,8,0,day:evening::happiness:smile,2
disease:sickness,injury:pain,3,7,3,7,1,disease:sickness::injury:pain,2
stimulus:response,joke:laughter,3,7,3,7,1,stimulus:response::joke:laughter,2
tragedy:tears,rich:poor,3,7,2,4,0,tragedy:tears::rich:poor,2
repetition:boredom,below:above,3,7,2,5,0,repetition:boredom::below:above,2
fright:scream,heat:sweat,3,8,3,8,1,fright:scream::heat:sweat,2
sickness:medicate,danger:flee,3,8,3,8,1,sickness:medicate::danger:flee,2
tiredness:rest,big:large,3,8,1,1,0,tiredness:rest::big:large,2
thirsty:drink,fence:hedge,3,8,1,2,0,thirsty:drink::fence:hedge,2
sleep:rest,advertise:promote,3,9,3,9,1,sleep:rest::advertise:promote,2
exercise:healthy,burnish:shine,3,9,3,9,1,exercise:healthy::burnish:shine,2
ignite:burn,majority:small,3,9,2,6,0,ignite:burn::majority:small,2
trim:shorten,high:low,3,9,2,5,0,trim:shorten::high:low,2
